"astro-ph/0312567","Timur Rashba","V. B. Semikoz and D. D. Sokoloff","Large-scale magnetic field generation by alpha-effect driven by
  collective neutrino-plasma interaction","11 pages, no figure, extended version accepted in Phys. Rev. Lett","Phys.Rev.Lett. 92 (2004) 131301","10.1103/PhysRevLett.92.131301",,"astro-ph hep-ph",,"  We suggest a new mechanism for generation of large-scale magnetic field in
the hot plasma of early universe which is based on the parity violation in weak
interactions and depends neither on helicity of matter turbulence resulting in
the standard alpha-effect nor on general rotation. The mechanism can result in
a self-excitation of an (almost) uniform cosmological magnetic field.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 17:15:33 GMT""},{""version"":""v2"",""created"":""Sun, 29 Feb 2004 15:09:49 GMT""}]","2009-11-10"
"math/0312407","Roy Meshulam","Roy Meshulam","An uncertainty inequality for finite abelian groups","7 pages, no figures",,,,"math.CO",,"  Let G be a finite abelian group of order n. For a complex valued function f
on G, let \fht denote the Fourier transform of f. The uncertainty inequality
asserts that if f \neq 0 then |supp(f)| |supp(\fht)| \geq n. Answering a
question of Terence Tao, the following improvement of the classical inequality
is shown: Let d_1<d_2 be two consecutive divisors of n. If d_1 \leq k=|supp(f)|
\leq d_2 then: |supp(\fht)| \geq \frac{n(d_1+d_2-k)}{d_1 d_2}
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 12:42:44 GMT""}]","2007-05-23"
"math/0312408","Behrooz Mirzaii","Behrooz Mirzaii","Homology stability for Unitary groups II","19 pages, Latex","K-Theory 36 (2005), no. 3--4, 305--326",,,"math.KT",,"  In this note the homology stability problem for hyperbolic unitary groups
over a local ring with an infinite residue field is studied.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 12:57:03 GMT""}]","2007-05-23"
"math/0312409","Behrooz Mirzaii","Behrooz Mirzaii","Third homology of general linear groups","24 pages, Latex, new title, some results are generalized, added
  references",,,,"math.KT",,"  The third homology group of GL_n(R) is studied, where R is a `ring with many
units' with center Z(R). The main theorem states that if K_1(Z(R))_Q \simeq
K_1(R)_Q, (e.g. R a commutative ring or a central simple algebra), then
H_3(GL_2(R), Q) --> H_3(GL_3(R), Q) is injective. If R is commutative, Q can be
replaced by a field k such that 1/2 is in k. For an infinite field R (resp. an
infinite field R such that R*=R*^2), we get a better result that H_3(GL_2(R),
Z[1/2] --> H_3(GL_3(R), Z[1/2]) (resp. H_3(GL_2(R), Z) --> H_3(GL_3(R), Z)) is
injective. As an application we study the third homology group of SL_2(R) and
the indecomposable part of K_3(R).
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 13:25:45 GMT""},{""version"":""v2"",""created"":""Sat, 20 Oct 2007 18:39:15 GMT""}]","2007-10-20"
"math/0312410","Serguei Samborski","Serguei Samborski","On Metric Completness and Completness in sense of Lattices","Sorry, this article is being rewritten. Please email the author to be
  informed about its availability",,,,"math.FA math.CA",,"  We give an answer to the following question: for which metric in an abstract
lattice the completion as a metric space coincides with the completion as a
lattice. We obtain the answer for inductive limits of lattices which are
complete in both senses. As an application we construct such a metric in the
lattice of continuous functions endowed with the uniform convergence.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 14:42:43 GMT""},{""version"":""v2"",""created"":""Tue, 18 May 2004 09:09:06 GMT""}]","2007-05-23"
"nlin/0312052","Hyun Jong Shin","H. J. Shin","Soliton on a Cnoidal Wave Background in the coupled nonlinear
  Schr\""{o}dinger equation","8 figures",,"10.1088/0305-4470/37/33/004",,"nlin.SI",,"  An application of the Darboux transformation on a cnoidal wave background in
the coupled nonlinear Schr\""{o}dinger equation gives a new solution which
describes a soliton moving on a cnoidal wave. This is a generalized version of
the previously known soliton solutions of dark-bright pair. Here a dark soliton
resides on a cnoidal wave instead of on a constant background. It also exhibits
a new types of soliton solution in a self-focusing medium, which describes a
breakup of a generalized dark-bright pair into another generalized dark-bright
pair and an ""oscillating"" soliton. We calculate the shift of the crest of the
cnoidal wave along a soliton and the moving direction of the soliton on a
cnoidal wave.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 02:44:29 GMT""}]","2009-11-10"
"nlin/0312053","Oliver Muelken","Oliver Muelken, Henk van Beijeren","Thermodynamic formalism for field driven Lorentz gases","9 pages, 5 figures","Phys. Rev. E 69, 046203 (2004)","10.1103/PhysRevE.69.046203","ITP-UU-03/69","nlin.CD cond-mat.stat-mech",,"  We analytically determine the dynamical properties of two dimensional field
driven Lorentz gases within the thermodynamic formalism. For dilute gases
subjected to an iso-kinetic thermostat, we calculate the topological pressure
as a function of a temperature-like parameter $\ba$ up to second order in the
strength of the applied field. The Kolmogorov-Sinai entropy and the topological
entropy can be extracted from a dynamical entropy defined as a Legendre
transform of the topological pressure. Our calculations of the Kolmogorov-Sinai
entropy exactly agree with previous calculations based on a Lorentz-Boltzmann
equation approach. We give analytic results for the topological entropy and
calculate the dimension spectrum from the dynamical entropy function.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 09:21:52 GMT""}]","2009-11-10"
"nlin/0312054","Constantine Popov A.","Constantine A. Popov","Perturbation Theory for the Double-Sine-Gordon Equation","LaTeX, 7 pages, 3 figures",,,,"nlin.PS",,"  This paper presents the perturbation theory for the double--sine--Gordon
equation. We received the system of differential equations that shows the
soliton parameters modification under perturbation's influence. In particular
case $\lambda=0$ the results of the research transform into well-known
perturbation theory for the sine--Gordon equation.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 10:23:39 GMT""},{""version"":""v2"",""created"":""Tue, 1 Jun 2004 04:50:35 GMT""}]","2007-05-23"
"nlin/0312055","Agapi Emmanouilidou","C. Jung and A. Emmanouilidou","Construction of a natural partition of incomplete horseshoes","21 pages 5 figures",,,,"nlin.CD",,"  A method is presented to construct a partition of an incomplete horseshoe in
a Poincare map which is only based on unstable manifolds of outermost fixed
points and eventually their limits. Thereby this partition becomes natural from
the point of view of asymptotic scattering observations. The symbolic dynamics
derived from this partition coincides with the one derived from the
hierarchical structure of the singularities of scattering functions.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 14:50:17 GMT""}]","2007-05-23"
"nucl-th/0312095","Shishu Wu","S. S. Wu, H. X. Zhang and Y. J. Yao","Dirac Sea Contribution in Relativistic Random Phase Approximation","17 pages, 4 figures (the revised version.The paper and figures are
  revised). accepted by J. Phys. G","J.Phys. G32 (2006) 1269-1278","10.1088/0954-3899/32/9/005",,"nucl-th",,"  In the hadrodynamics (QHD) there are two methods to take account of the
contribution of negative-energy states in the relativistic random phase
approximation (RRPA). Dawson and Furnstahl made the ansatz that the Dirac sea
were empty, while according to the Dirac hole theory the sea should be fully
occupied. The two methods seem contradictory. Their close relationship and
compatibility are explored and in particular the question of the ground-state
(GS) instability resulting from Dawson-Furnstanhl's ansatz is discussed.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 03:10:14 GMT""},{""version"":""v2"",""created"":""Tue, 30 Dec 2003 08:10:10 GMT""},{""version"":""v3"",""created"":""Thu, 20 May 2004 01:04:36 GMT""},{""version"":""v4"",""created"":""Tue, 18 Jul 2006 11:21:33 GMT""}]","2009-11-10"
"nucl-th/0312096","Thomas Neff","Hans Feldmeier, Thomas Neff and Robert Roth","Nuclear Structure - ""ab initio""","9 pages, Invited talk and poster at the international symposium ""A
  New Era of Nuclear Structure Physics"" (NENS03), Niigata, Japan, Nov. 19-22,
  2003",,"10.1142/9789812702401_0009",,"nucl-th",,"  An ab-initio description of atomic nuclei that solves the nuclear many-body
problem for realistic nuclear forces is expected to possess a high degree of
predictive power. In this contribution we treat the main obstacle, namely the
short-ranged repulsive and tensor correlations induced by the realistic
nucleon-nucleon interaction, by means of a unitary correlation operator. This
correlator applied to uncorrelated many-body states imprints short-ranged
correlations that cannot be described by product states. When applied to an
observable it induces the correlations into the operator, creating for example
a correlated Hamiltonian suited for Slater determinants. Adding to the
correlated realistic interaction a correction for three-body effects,
consisting of a momentum-dependent central and spin-orbit two-body potential we
obtain an effective interaction that is successfully used for all nuclei up to
mass 60. Various results are shown.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 09:52:30 GMT""}]","2017-08-23"
"nucl-th/0312097","Noriyoshi Ishii","H. Mineo, W. Bentz, N. Ishii, A.W. Thomas, K. Yazaki","Quark distributions in nuclear matter and the EMC effect","52 pages, 11 figures","Nucl.Phys.A735:482-514,2004","10.1016/j.nuclphysa.2004.02.011","ADP-03-144/T579","nucl-th hep-ph",,"  Quark light cone momentum distributions in nuclear matter and the structure
function of a bound nucleon are investigated in the framework of the
Nambu-Jona-Lasinio model. This framework describes the nucleon as a
relativistic quark-diquark state, and the nuclear matter equation of state by
using the mean field approximation. The scalar and vector mean fields in the
nuclear medium couple to the quarks in the nucleon and their effect on the spin
independent nuclear structure function is investigated in detail. Special
emphasis is placed on the important effect of the vector mean field and on a
formulation which guarantees the validity of the number and momentum sum rules
from the outset.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 11:11:02 GMT""}]","2010-02-17"
"nucl-th/0312098","Qingfeng Li","Qingfeng Li, Zhuxia Li, Enguang Zhao","Density and temperature dependence of nucleon-nucleon elastic cross
  section","11 pages,4 figures, 1 table. accepted by PRC","Phys.Rev. C69 (2004) 017601","10.1103/PhysRevC.69.017601",,"nucl-th",,"  The in-medium neutron-proton, proton-proton (neutron-neutron) elastic
scattering cross sections ($\sigma_{np}^{*}$, $\sigma_{pp(nn)}^{*}$) are
studied based on the effective Lagrangian of density dependent relativistic
hadron theory in which the $\delta$[$a_0(980)$] meson is included. Our study
shows that at low densities the $\sigma_{np}^*$ is about 3-4 times larger than
$\sigma_{pp(nn)}^*$ and at densities higher than the normal density the isospin
effect is almost washed out. Because of coupling to $\delta$ meson the
$\sigma_{nn}^*$ and $\sigma_{pp}^*$ are different in isospin asymmetric medium
following the splitting of the proton and neutron mass. The isospin effect on
the density dependence of the in-medium nucleon elastic cross section is
dominantly contributed by the isovector $\delta$ and $\rho$ mesons. The
temperature effect on the $\sigma_{np}^*$ and $\sigma_{pp(nn)}^*$ is studied.
It is shown that the temperature effect is weaker compared with the density
effect but it becomes obvious as density increases.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 12:20:21 GMT""}]","2009-11-10"
"nucl-th/0312099","Qingfeng Li","Qingfeng Li, Zhuxia Li, Enguang Zhao, H. Stoecker","Re-visit the N/Z ratio of free nucleons from collisions of neutron -rich
  nuclei as a probe of EoS of asymmetric nuclear matter","15 pages, 6 figures, 2 tables. accepted by Commun. Theor. Phys.
  (Beijing, China)",,"10.1088/0253-6102/41/3/435",,"nucl-th",,"  The N/Z ratio of free nucleons from collisions of neutron-rich nuclei as a
function of their momentum is studied by means of Isospin dependent Quantum
Molecular Dynamics.
  We find that this ratio is not only sensitive to the form of the density
dependence of the symmetry potential energy but also its strength determined by
the symmetry energy coefficient.
  The uncertainties about the symmetry energy coefficient influence the
accuracy of probing the density dependence of the symmetry energy by means of
the N/Z ratio of free nucleons of neutron-rich nuclei.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 12:34:58 GMT""}]","2018-01-17"
"physics/0312127","Florin Spineanu","F. Spineanu, M. Vlad, K. Itoh and S.-I. Itoh","Review of analytical treatments of barrier-type problems in plasma
  theory","Latex 75 pages including 58 eps figures of poor quality. For better
  figures please download a ps file as
  http://florin.spineanu.free.fr/sciarchive/topicalreview.zip",,,,"physics.plasm-ph physics.chem-ph",,"  We review the analytical methods of solving the stochastic equations for
barrier-type dynamical behavior in plasma systems. The path-integral approach
is examined as a particularly efficient method of determination of the
statistical properties.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 19:35:06 GMT""}]","2007-05-23"
"physics/0312128","Johannes M. Bauer","Johannes M. Bauer (for the BaBar Collaboration EMC Group)","Absolute Energy Calibration with the Neutron-Activated Liquid-Source
  System at BaBar's CsI(Tl) Calorimeter","7 pages, 14 figures, presented at 2003 IEEE Nuclear Science
  Symposium, submitted to IEEE Transactions on Nuclear Science","IEEE Trans.Nucl.Sci. 51 (2004) 1596","10.1109/TNS.2004.832572","SLAC-PUB-10289, UMS-HEP-2003-027","physics.ins-det hep-ex",,"  The electro-magnetic calorimeter at the BaBar detector, part of the
asymmetric B Factory at SLAC, measures photons in the energy range from 20 MeV
to 8 GeV with good resolution. The calorimeter is calibrated at the low energy
end with 6.13 MeV photons obtained from a liquid source system. During the
calibration, a fluorine-rich liquid is activated via a neutron generator and
pumped past the front of the calorimeter's crystals. Decays that occur in front
of the crystals emit photons of well-defined energy, which are detected in the
crystals with the regular data acquisition system. The liquid source system
adds only very little material in front of the calorimeter, needs nearly no
maintenance, and allows operation at the switch of a key with minimal safety
hazards. The report describes the system, presents calibration results obtained
from its operation since 1999, shows the crystals' loss of light yield due to
radiation damage, and shares experiences gained over the years.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 04:44:30 GMT""}]","2019-08-14"
"physics/0312129","Nathana\""el Schaeffer","Nathanael Schaeffer and Philippe Cardin","Quasi-geostrophic model of the instabilities of the Stewartson layer","28 pages, 15 figures. * New version including discussion of the
  recent work of Hollerbach, and much more. * A sign error in the Ekman pumping
  has been corrected. This has almost no influence on the results presented in
  the previous version",,,,"physics.flu-dyn physics.geo-ph",,"  We study the destabilization of a shear layer, produced by differential
rotation of a rotating axisymmetric container. For small forcing, this produces
a shear layer, which has been studied by Stewartson and is almost invariant
along the rotation axis. When the forcing increases, instabilities develop. To
study the asymptotic regime (very low Ekman number $E$), we develop a
quasi-geostrophic two-dimensional model, whose main original feature is to
handle the mass conservation correctly, resulting in a divergent
two-dimensional flow, and valid for any container provided that the top and
bottom have finite slopes. We use it to derive scalings and asymptotic laws by
a simple linear theory, extending the previous analyses to large slopes (as in
a sphere), for which we find different scaling laws. For a flat container, the
critical Rossby number for the onset of instability evolves as $E^{3/4}$ and
may be understood as a Kelvin-Helmoltz shear instability. For a sloping
container, the instability is a Rossby wave with a critical Rossby number
proportional to $\beta E^{1/2}$, where $\beta$ is related to the slope. We also
investigate the asymmetry between positive and negative differential rotation
and propose corrections for finite Ekman and Rossby numbers. Implemented in a
numerical code, our model allows us to study the onset over a broad range of
parameters, determining the threshold but also other features such as the
spatial structure. We also present a few experimental results, validating our
model and showing its limits.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 11:07:37 GMT""},{""version"":""v2"",""created"":""Tue, 19 Oct 2004 15:40:55 GMT""}]","2007-05-23"
"physics/0312130","Larisa Ikryannikova Nikolaevna","Larissa N. Ikryannikova, Leila Yu. Ustynyuk, Alexander N.Tikhonov","DFT Study of Nitroxide Radicals. 1. Effects of solvent on structural and
  electronic characteristics of
  4-amino-2,2,5,5-tetramethyl-3-imidazoline-N-oxyl","30 pages, 11 figures, 6 tables",,"10.1021/jp037943d",,"physics.atm-clus physics.chem-ph",,"  Imidazoline-based nitroxide radicals are often used as spin probes for medium
acidity and polarity in different systems. In this work, using the density
functional theory (DFT) approach, we have studied how physico-chemical
characteristics (geometry, atomic charges and electron spin density
distribution) of pH-sensitive spin label
4-amino-2,2,5,5-tetramethyl-3-imidazoline-N-oxyl (ATI) depend on protonation
and aqueous surroundings. Our calculations demonstrate that ATI protonation
should occur at the nitrogen atom of the imidazoline ring rather than at the
amino group. Protonation of ATI leads to a decrease in a spin density on the
nitrogen atom of the nitroxide fragment >N-O. For simulation of ATI hydration
effects, we have constructed a water shell around a spin label molecule by
means of gradual (step-by-step) surrounding of ATI with water molecules (n =
2-41). Calculated spin density on the nitrogen atom of the nitroxide fragment
increased with an extension of a water shell around ATI. Both protonation and
hydration of ATI caused certain changes in calculated geometric parameters
(bond lengths and valence angles). Investigating how structural and energy
parameters of a system ATI-(H2O)n depend on a number of surrounding water
molecules, we came to the conclusion that a hydrogen-bonded cluster of n
&#8805; 41 water molecules could be considered as an appropriate model for
simulation of ATI hydration effects.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 13:50:28 GMT""}]","2016-09-28"
"physics/0312131","Ariel Caticha","Ariel Caticha and Roland Preuss","Entropic Priors","Presented at MaxEnt'03, the 23d International Workshop on Bayesian
  Inference and Maximum Entropy Methods (August 3-8, 2003, Jackson Hole, WY,
  USA)",,"10.1063/1.1751380",,"physics.data-an physics.comp-ph",,"  The method of Maximum (relative) Entropy (ME) is used to translate the
information contained in the known form of the likelihood into a prior
distribution for Bayesian inference. The argument is guided by intuition gained
from the successful use of ME methods in statistical mechanics. For experiments
that cannot be repeated the resulting ""entropic prior"" is formally identical
with the Einstein fluctuation formula. For repeatable experiments, however, the
expected value of the entropy of the likelihood turns out to be relevant
information that must be included in the analysis. As an example the entropic
prior for a Gaussian likelihood is calculated.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 14:46:30 GMT""}]","2009-11-10"
"physics/0312132","Katja Klein","Katja Klein (for the CMS Tracker Collaboration)","The CMS Silicon Strip Tracker: System Tests and Test Beam Results","5 pages; presented at the 8th ICATPP Conference, Como, Italy, October
  6-10, 2003; to be published by World Scientific",,"10.1142/9789812702708_0103","CMS CR 2003/052","physics.ins-det hep-ph",,"  With a total area of 210 squaremeters and about 15000 single silicon modules
the silicon strip tracker of the CMS experiment at the LHC will be the largest
silicon strip detector ever built. While the performance of the individual
mechanical and electronic components has already been tested extensively, their
interplay in larger integrated substructures also has to be studied before mass
production can be launched, in order to ensure the envisaged performance of the
overall system. This is the main purpose of the system tests, during which
hardware components as final as possible are being integrated into
substructures of the tracker subsystems. System tests are currently being
carried out for all subsystems of the tracker. In addition, silicon modules and
electronic components have been operated and studied in a particle beam
environment. In this report results from the CMS silicon tracker system tests
and a test beam experiment at CERN are presented.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 15:24:51 GMT""}]","2019-08-14"
"q-bio/0312035","Peng-Ye Wang","Yu-Ying Liu, Peng-Ye Wang, Shuo-Xing Dou, Wei-Chi Wang, Ping Xie,
  Hua-Wei Yin, Xing-Dong Zhang","Ionic effect on combing of single DNA molecules and observation of their
  force-induced melting by fluorescence microscopy","12 pages","JOURNAL OF CHEMICAL PHYSICS, 121, 4302 (2004)","10.1063/1.1777220",,"q-bio.BM",,"  Molecular combing is a powerful and simple method for aligning DNA molecules
onto a surface. Using this technique combined with fluorescence microscopy, we
observed that the length of lambda-DNA molecules was extended to about 1.6
times their contour length (unextended length, 16.2 micrometers) by the combing
method on hydrophobic polymethylmetacrylate (PMMA) coated surfaces. The effects
of sodium and magnesium ions and pH of the DNA solution were investigated.
Interestingly, we observed force-induced melting of single DNA molecules.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 07:42:00 GMT""}]","2009-11-10"
"quant-ph/0312182","Dieter Heiss","T. Stehmann, W.D.Heiss and F.G. Scholtz","Observation of Exceptional Points in Electronic Circuits","4 pages, latex, 3 postscript figures, submitted for publication",,"10.1088/0305-4470/37/31/012",,"quant-ph",,"  Two damped coupled oscillators have been used to demonstrate the occurrence
of exceptional points in a purely classical system. The implementation was
achieved with electronic circuits in the kHz-range. The experimental results
perfectly match the mathematical predictions at the exceptional point. A
discussion about the universal occurrence of exceptional points -- connecting
dissipation with spatial orientation -- concludes the paper.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 08:42:12 GMT""}]","2009-11-10"
"quant-ph/0312183","Andrei Khrennikov","O\v{l}ga N\'an\'asiov\'a, Andrei Yu. Khrennikov","Marginality in non-compatible random events",,,,,"quant-ph",,"  We present a way of introducing joint distibution function and its marginal
distribution functions for non-compatible observables. Each such marginal
distribution function has the property of commutativity. Models based on this
approach can be used to better explain some classical phenomena in stochastic
processes.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 14:11:21 GMT""}]","2007-05-23"
"quant-ph/0312184","Levinson Yehoshua","Yehoshua Levinson","Decoherence of electron beams by electromagnetic field fluctuations",,,"10.1088/0305-4470/37/8/012",,"quant-ph",,"  Electromagnetic field fluctuations are responsible for the destruction of
electron coherence (dephasing) in solids and in vacuum electron beam
interference. The vacuum fluctuations are modified by conductors and
dielectrics, as in the Casimir effect, and hence, bodies in the vicinity of the
beams can influence the beam coherence. We calculate the quenching of
interference of two beams moving in vacuum parallel to a thick plate with
permittivity $\epsilon(\omega)=\epsilon_{0}+i 4\pi\sigma/\omega$. In case of an
ideal conductor or dielectric $(|\epsilon|=\infty)$ the dephasing is suppressed
when the beams are close to the surface of the plate, because the random
tangential electric field $E_{t}$, responsible for dephasing, is zero at the
surface. The situation is changed dramatically when
  $\epsilon_{0}$ or $\sigma$ are finite. In this case there exists a layer near
the surface, where the fluctuations of $E_{t}$ are strong due to evanescent
near fields. The thickness of this near - field layer is of the order of the
wavelength in the dielectric or the skin depth in the conductor, corresponding
to a frequency which is the inverse electron time of flight from the emitter to
the detector. When the beams are within this layer their dephasing is enhanced
and for slow enough electrons can be even stronger than far from the surface.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 15:31:00 GMT""}]","2016-09-08"
"quant-ph/0312185","Shao-Ming Fei","S. Albeverio, K. Chen and S.M. Fei","Generalized reduction criterion for separability of quantum states","17 pages, 2 figures","Phys. Rev. A 68 (2003) 062313","10.1103/PhysRevA.68.062313",,"quant-ph",,"  A new necessary separability criterion that relates the structures of the
total density matrix and its reductions is given. The method used is based on
the realignment method [K. Chen and L.A. Wu, Quant. Inf. Comput. 3, 193
(2003)]. The new separability criterion naturally generalizes the reduction
separability criterion introduced independently in previous work of [M.
Horodecki and P. Horodecki, Phys. Rev. A 59, 4206 (1999)] and [N.J. Cerf, C.
Adami and R.M. Gingrich, Phys. Rev. A 60, 898 (1999)]. In special cases, it
recovers the previous reduction criterion and the recent generalized partial
transposition criterion [K. Chen and L.A. Wu, Phys. Lett. A 306, 14 (2002)].
The criterion involves only simple matrix manipulations and can therefore be
easily applied.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 15:38:58 GMT""}]","2009-11-10"
