"astro-ph/0311002","Luis Anchordoqui","Luis A. Anchordoqui, Haim Goldberg, Francis Halzen, and Thomas J.
  Weiler","Galactic Point Sources of TeV Antineutrinos","matches published version","Phys.Lett.B593:42,2004","10.1016/j.physletb.2004.04.054","NUB-3242-Th-03; MADPH-03-1355","astro-ph hep-ph",,"  High energy cosmic ray experiments have identified an excess from the region
of the Galactic Plane in a limited energy range around $10^{18}$ eV (EeV). This
is very suggestive of neutrons as candidate primaries, because the directional
signal requires relatively-stable neutral primaries, and time-dilated neutrons
can reach Earth from typical Galactic distances when the neutron energy exceeds
an EeV. We here point out that if the Galactic messengers are neutrons, then
those with energies below an EeV will decay in flight, providing a flux of
cosmic antineutrinos above a TeV which is {\it observable} at a kilometer-scale
neutrino observatory. The expected event rate per year above 1 TeV in a
detector such as IceCube, for example, is 20 antineutrino showers (all flavors)
and a $1^\circ$ directional signal of 4 $\bar \nu_\mu$ events. A measurement of
this flux can serve to identify the first extraterrestrial point source of TeV
antineutrinos.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 17:33:25 GMT""},{""version"":""v2"",""created"":""Mon, 22 Mar 2004 15:30:12 GMT""},{""version"":""v3"",""created"":""Thu, 19 Aug 2004 15:16:35 GMT""}]","2011-05-12"
"hep-th/0311021","David Nolland","Paul Mansfield, David Nolland and Tatsuya Ueno","The Boundary Weyl Anomaly in the ${\cal N}=4$ SYM/Type IIB Supergravity
  Correspondence","30 pages","JHEP 0401 (2004) 013","10.1088/1126-6708/2004/01/013","LTH607","hep-th",,"  We give a complete account of the Schr\""odinger representation approach to
the calculation of the Weyl anomaly of ${\cal N}=4$ SYM from the AdS/CFT
correspondence. On the AdS side, the $1/N^2$ correction to the leading order
result receives contributions from all the fields of Type IIB Supergravity, the
contribution of each field being given by a universal formula. The correct
matching with the CFT result is thus a highly non-trivial test of the
correspondence.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 11:31:09 GMT""}]","2009-11-10"
"hep-th/0311022","Ashok Das","Ashok Das and Xingxiang Zhou","Reply to ""Comment on 'Light-Front Schwinger Model at Finite
  Temperature'""","3pages, version to be published in Phys. Rev. D","Phys.Rev.D69:128702,2004","10.1103/PhysRevD.69.128702",,"hep-th",,"  In hep-th/0310278, Blankleider and Kvinikhidze propose an alternate thermal
propagator for the fermions in the light-front Schwinger model. We show that
such a propagator does not describe correctly the thermal behavior of fermions
in this theory and, as a consequence, the claims made in their paper are not
correct.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 13:54:41 GMT""},{""version"":""v2"",""created"":""Tue, 4 Nov 2003 21:24:08 GMT""},{""version"":""v3"",""created"":""Sat, 29 May 2004 11:03:45 GMT""}]","2016-09-06"
"hep-th/0311023","Andrei Smilga","A.V. Smilga","Weak supersymmetry","14 pages LaTeX, final version to be published in Phys.Lett. B","Phys.Lett.B585:173-179,2004","10.1016/j.physletb.2004.01.070","SUBATECH-2003/06","hep-th",,"  We explore ``weak'' supersymmetric systems whose algebra involves, besides
Poincare generators, extra bosonic generators not commuting with supercharges.
This allows one to have inequal number of bosonic and fermionic 1--particle
states in the spectrum. Coleman--Mandula and Haag--Lopuszanski--Sohnius
theorems forbid the presence of such extra bosonic charges in {\it interacting}
theory for $d \geq 3$. However, these theorems do not apply in one or two
dimensions. For $d=1$, we construct a nontrivial interacting system
characterized by weak supersymmetric algebra. It is related to ``n--fold''
supersymmetric systems and to quasi-exactly solvable systems studied earlier.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 14:14:16 GMT""},{""version"":""v2"",""created"":""Mon, 26 Jan 2004 13:46:18 GMT""}]","2008-11-26"
"hep-th/0311025","Ben Gripaios","B. M. Gripaios","Superpotentials for Gauge and Conformal Supergravity Backgrounds","12 pages, no figures","Commun.Math.Phys.254:179-189,2005","10.1007/s00220-004-1197-1","OUTP-03 31P","hep-th",,"  Effective superpotentials obtained by integrating out matter in super
Yang-Mills and conformal supergravity backgrounds in N=1 SUSY theories are
considered. The pure gauge and supergravity contributions (generalizing
Veneziano-Yankielowicz terms) are derived by considering the case with matter
fields in the fundamental representation of the gauge group. These
contributions represent quantum corrections to the tree-level Yang-Mills and
conformal supergravity actions. The classical equations of motion following
from the conformal supergravity action require the background to be
(super)conformally flat. This condition is unchanged by quantum corrections to
the effective superpotential, irrespective of the matter content of the theory.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 14:33:34 GMT""},{""version"":""v2"",""created"":""Fri, 16 Jan 2004 16:19:16 GMT""}]","2010-12-03"
"math-ph/0311001","Waldyr A. Rodrigues jr","E. Capelas de Oliveira and W. A. Rodrigues Jr","Clifford Valued Differential Forms, Algebraic Spinor Fields,
  Gravitation, Electromagnetism and ""Unified"" Theories","Some references have been updated and new references have been added.
  Some new misprints and typos and references have been corrected. This paper
  is an expanded version of the material containing in math-ph/0407024 and
  math-ph/0407025, published in Int. J. Mod. Phys. D13(8), 1637-1659(2004) and
  Int. J. Mod. Phys. D13(9), 1879-1915 (2004)",,,"RP 40/03 IMECC-UNICAMP","math-ph math.DG math.MP",,"  In this paper we show how to describe the general theory of a linear metric
compatible connection with the theory of Clifford valued differential forms.
This is done by realizing that for each spacetime point the algebra of Clifford
bivectors is isomorphic to the Lie algebra of Sl(2,C). In that way the pullback
of the linear connection under a trivialization of the bundle is represented by
a Clifford valued 1-form. That observation makes it possible to realize
Einstein's gravitational theory can be formulated in a way which is similar to
a Sl(2,C) gauge theory. Some aspects of such approach is discussed. Also, the
theory of the covariant spinor derivative of spinor fields is introduced in a
novel way, allowing for a physical interpretation of some rules postulated for
that covariant spinor derivative in the standard theory of these objects. We
use our methods to investigate some polemical issues in gravitational theories
and in particular we scrutinize a supposedly ""unified"" field theory of
gravitation and electromagnetism proposed by M. Sachs and recently used in a
series of papers. Our results show that Sachs did not attain his objective and
that recent papers based on that theory are ill conceived and completely
invalid both as Mathematics and Physics.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 09:19:27 GMT""},{""version"":""v2"",""created"":""Sat, 17 Jul 2004 14:34:22 GMT""},{""version"":""v3"",""created"":""Wed, 6 Oct 2004 10:13:06 GMT""},{""version"":""v4"",""created"":""Wed, 3 Nov 2004 09:24:16 GMT""},{""version"":""v5"",""created"":""Wed, 8 Dec 2004 10:06:07 GMT""}]","2007-05-23"
"math-ph/0311002","Yan Pautrat","S. Attal, Y. Pautrat","From repeated to continuous quantum interactions","47 pages, TeX Minor corrections were made, a straightforward and
  important (yet previously unnoticed) corollary regarding convergence of
  Heisenberg evolutions of observables was added",,,"624 (2003)","math-ph math.FA math.MP math.PR quant-ph",,"  We consider the general physical situation of a quantum system $\H_0$
interacting with a chain of exterior systems $\bigotimes_\N \H$, one after the
other, during a small interval of time $h$ and following some Hamiltonian $H$
on $\H_0 \otimes \H$. We discuss the passage to the limit to continuous
interactions ($h \to 0$) in a setup which allows to compute the limit of this
Hamiltonian evolution in a single state space: a continuous field of exterior
systems $\otimes_{\R} \H$. Surprisingly, the passage to the limit shows the
necessity for 3 different time scales in $H$. The limit evolution equation is
shown to spontaneously produce quantum noises terms: we obtain a quantum
Langevin equation as limit of the Hamiltonian evolution. For the very first
time, these quantum Langevin equations are obtained as the effective limit from
repeated to continuous interactions and not only as a model. These results
justify the usual quantum Langevin equations considered in continual quantum
measurement or in quantum optics. We show that the three time scales correspond
to the normal regime, the weak coupling limit and the low density limit. Our
approach allows to consider these two physical limits altogether for the first
time. Their combination produces an effective Hamiltonian on the small system,
which had never been described before. We apply these results to give an
Hamiltonian description of the von Neumann measurement. We also consider the
approximation of continuous time quantum master equations by discrete time
ones. In particular we show how any Lindblad generator is obtained as the limit
of completely positive maps.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 15:19:57 GMT""},{""version"":""v2"",""created"":""Wed, 17 Dec 2003 18:49:51 GMT""}]","2007-05-23"
"math/0311020","Tim Roemer","Tim Roemer","Note on bounds for multiplicities","10 pages; revised version accepted for publication in JPAA","J. Pure Appl. Algebra 195 (2005), no. 1, 113-123","10.1016/j.jpaa.2004.05.008",,"math.AC",,"  Let S=K[x_1,...,x_n] be a polynomial ring and R=S/I be a graded K-algebra
where I is a graded ideal in S. Herzog, Huneke and Srinivasan have conjectured
that the multiplicity of R is bounded above by a function of the maximal shifts
in the minimal graded free resolution of R over S. We prove the conjecture in
the case that codim(R)=2 which generalizes results in of Herzog, Srinivasan and
Gold. We also give a proof for the bound in the case in which I is
componentwise linear. For example, stable and squarefree stable ideals belong
to this class of ideals.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 16:05:43 GMT""},{""version"":""v2"",""created"":""Mon, 21 Jun 2004 19:31:24 GMT""}]","2021-05-18"
"math/0311021","Nikolaj Glazunov","Nikolaj M. Glazunov","Interval Computations and their Categorification","6 pages. Latex. Submitted to proceedings of the SCAN-2002",,"10.1023/B:NUMA.0000049463.34981.c8",,"math.CT math.NA",,"  By the example of the proof of Minkowski's conjecture on critical determinant
we give a category theory framework for interval computation.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 16:20:50 GMT""}]","2009-11-10"
"math/0311022","Deepak Parashar","Dayanand Parashar, Deepak Parashar","Construction of the generalised q-derivative operators","11 pages, LaTeX, published in JGP","J. Geom. Phys. 48 (2003) 297-308","10.1016/S0393-0440(03)00045-7",,"math.QA math-ph math.MP",,"  This investigation pertains to the construction of a class of generalised
deformed derivative operators which furnish the familiar finite difference and
the q-derivatives as special cases. The procedure involves the introduction of
a linear operator which is multiplicative over functions of a real variable.
The validity of the general prescriptions is ascertained by considering
suitable examples of such derivatives and constructing their eigenfunctions
explicitly. The relationship of a particular version of the operator with the
one-dimensional Mobius transformation is also established.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 17:01:58 GMT""}]","2009-11-10"
"math/0311023","H\'el\`ene Esnault","H\'el\`ene Esnault","Some elementary theorems about divisibility of 0-cycles on abelian
  varieties defined over finite fields","7 pages",,,,"math.AG",,"  If $X$ is an abelian variety over a field and $L$ is an invertible sheaf, we
know that the degree of the 0-cycle $L^g$ is divisible by $g!$. As a 0-cycle,
it is not, even over a field of cohomological dimension 1. But we show that
over a finite field there is perhaps some hope.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 17:42:36 GMT""}]","2007-05-23"
"math/0311024","Evangelia Samiou","Sergio Console, Anna Fino, Evangelia Samiou","The moduli space of 6-dimensional 2-step nilpotent Lie algebras",,,,,"math.DG",,"  We determine the moduli space of metric 2-step nilpotent Lie algebras of
dimension up to 6. This space is homeomorphic to a cone over a 4-dimensional
contractible simplicial complex.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 19:35:54 GMT""}]","2007-05-23"
"math/0311025","Bert Reinold","Bert Reinold","Vectors of Higher Rank on a Hadamard Manifold with Compact Quotient","iv + 128 pages, 13 figures, Dissertation Universitaet Zuerich 2003",,,,"math.DG",,"  <ENGLISH> Consider a closed, smooth manifold M of nonpositive sectional
curvature. Write p:UM-> M for the unit tangent bundle over M and let R_> denote
the subset consisting of all vectors of higher rank. This subset is closed and
invariant under the geodesic flow on UM. We will define the structured
dimension sdim(R_>) which, essentially, is the dimension of the set p(R_>) of
base points of R_>. The main result holds for manifolds with sdim(R_>) <
dim(M)/2: For every E>0 there is an E-dense, flow invariant, closed subset Z_E
in UM R_> such that p(Z_E)=M. For every point in M this means that through this
point there is a complete geodesic for which the velocity vector field avoids a
neighbourhood of R_>.
  <DEUTSCH> Gegeben sei eine geschlossene, glatte Mannigfaltigkeit M
nichtpositiver Schnittkruemmung. Das Einheitstangentialbuendel sei mit p:UM-> M
bezeichnet und die Teilmenge aller Vektoren hoeheren Ranges mit R_>. Diese
Teilmenge ist abgeschlossen und invariant unter dem geodaetischen Fluss auf UM.
Wir definieren die Strukturdimension sdim(R_>) von R_>, die, im Wesentlichen,
die Dimension der Fusspunktmenge p(R_>) misst. Das Hauptergebnis gilt unter der
Bedingung, dass sdim(R_>) < dim(M)/2 gilt: Fuer jedes E>0 gibt es eine
E-dichte, flussinvariante, abgeschlossene Teilmenge Z_E in UM R_>, fuer die
gilt p(Z_E) = M. Dies bedeutet, dass es durch jeden Punkt in M eine
vollstaendige Geodaete gibt, deren Geschwindigkeitsfeld eine Umgebung von R_>
vermeidet.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 20:47:06 GMT""}]","2007-05-23"
"math/0311026","Javier Fernandez","Javier Fernandez","Hodge structures for orbifold cohomology","Streamlined exposition. Added examples. Final version","Proc. Amer. Math. Soc. 134 (2006), no. 9, 2511-2520",,,"math.AG",,"  We construct a polarized Hodge structure on the primitive part of Chen and
Ruan's orbifold cohomology $H_{orb}^k(X)$ for projective $SL$-orbifolds $X$
satisfying a ``Hard Lefschetz Condition''.
  Furthermore, the total cohomology $H_{orb}^{*,*}(X)$ forms a mixed Hodge
structure that is polarized by every element of the K\""ahler cone of $X$. Using
results of Cattani-Kaplan-Schmid this implies the existence of an abstract
polarized variation of Hodge structure on the complexified K\""ahler cone of
$X$. This construction should be considered as the analogue of the abstract
polarized variation of Hodge structure that can be attached to the singular
cohomology of a crepant resolution of $X$, in the light of the conjectural
correspondence between the (quantum) orbifold cohomology and the (quantum)
cohomology of a crepant resolution.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 21:19:44 GMT""},{""version"":""v2"",""created"":""Tue, 16 May 2006 14:13:47 GMT""}]","2007-05-23"
"math/0311027","Ingo Witt","Michael Dreher (Freiberg), Ingo Witt (Potsdam)","Energy estimates for weakly hyperbolic systems of the first order","22 pages","Commun. Contemp. Math. 7 (2005), no. 6, 809-837",,"Freiberg University of Mining and Technology, Faculty I, Preprint
  2003-06","math.AP",,"  For a class of weakly hyperbolic systems of the form D_t - A(t,x,D_x), where
A(t,x,D_x) is a first-order pseudodifferential operator whose principal symbol
degenerates like t^{l_*} at time t=0, for some integer l_* \geq 1,
well-posedness of the Cauchy problem is proved in an adapted scale of Sobolev
spaces. In addition, an upper bound for the loss of regularity that occurs when
passing from the Cauchy data to the solutions is established. In examples, this
upper bound turns out to be sharp.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 23:16:08 GMT""}]","2010-01-15"
"math/0311028","Ingo Witt","Ingo Witt (Potsdam)","Green's formulas for cone differential operators","25 pages","Trans. Amer. Math. Soc. 359 (2007), no. 12, 5669-5696",,"Institute of Mathematics, University of Potsdam, Preprint 2003/20","math.AP",,"  Green's formulas for elliptic cone differential operators are established.
This is done by an accurate description of the maximal domain of an elliptic
cone differential operator and its formal adjoint, thereby utilizing the
concept of a discrete asymptotic type. From this description, the singular
coefficients replacing the boundary traces in classical Green's formulas are
deduced.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 00:28:02 GMT""}]","2010-01-15"
"math/0311029","Andr\'e Voros","A. Voros (CEA/Saclay, SPhT, France)","Zeta functions over zeros of general zeta and $L$-functions","latex ell.tex, 1 file, 26 pages, 7 tables; in: Proceedings of The
  International Symposium on Zeta Functions, Topology and Quantum Physics (ZTQ
  2003) Osaka, Japan March 3-6 2003","in book: Zeta Functions, Topology and Quantum Physics, eds. T.
  Aoki et al., Springer (2005) pp. 171-196",,"http://www-spht.cea.fr/articles/T03/159 SPhT-T03/159","math.CV math.NT",,"  We describe in detail three distinct families of generalized zeta functions
built over the (nontrivial) zeros of a rather general arithmetic zeta or
L-function, extending the scope of two earlier works that treated the Riemann
zeros only. Explicit properties are also displayed more clearly than before.
Several tables of formulae cover the simplest concrete cases: L-functions for
real primitive Dirichlet characters, and Dedekind zeta functions.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 09:02:13 GMT""}]","2007-05-23"
"math/0311030","Pietro Corvaja","Pietro Corvaja, Umberto Zannier","A lower bound for the height of a rational function at $S$-unit points","Plain TeX 18 pages. Version 2; minor changes. To appear on
  Monatshefte fuer Mathematik",,,,"math.NT",,"  Let $\Gamma$ be a finitely generated subgroup of the multiplicative group
$\G_m^2(\bar{Q})$. Let $p(X,Y),q(X,Y)\in\bat{Q}$ be two coprime polynomials not
both vanishing at $(0,0)$; let $\epsilon>0$. We prove that, for all
$(u,v)\in\Gamma$ outside a proper Zariski closed subset of $G_m^2$, the height
of $p(u,v)/q(u,v)$ verifies $h(p(u,v)/q(u,v))>h(1:p(u,v):q(u,v))-\epsilon
\max(h(uu),h(v))$. As a consequence, we deduce upper bounds for (a generalized
notion of) the g.c.d. of $u-1,v-1$ for $u,v$ running over $\Gamma$.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 10:50:44 GMT""},{""version"":""v2"",""created"":""Thu, 22 Apr 2004 09:21:03 GMT""}]","2007-05-23"
"math/0311031","Dan Popovici","Dan Popovici","A Simple Proof of a Theorem by Uhlenbeck and Yau","19 pages",,,,"math.CV math.AG",,"  A subbundle of a Hermitian vector bundle $(E, h)$ can be metrically and
differentiably defined by the orthogonal projection onto this subbundle. A
weakly holomorphic subbundle of a Hermitian holomorphic bundle is, by
definition, an orthogonal projection $\pi$ lying in the Sobolev space $L^2_1$
of $L^2$ sections with $L^2$ first order derivatives in the sense of
distributions, which satisfies furthermore $(\mathrm{Id}-\pi)\circ D''\pi=0$.
We give a new simple proof of the fact that a weakly holomorphic subbundle of
$(E, h)$ defines a coherent subsheaf of ${\cal O}(E),$ that is a holomorphic
subbundle of $E$ in the complement of an analytic set of codimension $\geq 2.$
This result was the crucial technical argument in Uhlenbeck's and Yau's proof
of the Kobayashi-Hitchin correspondence on compact K\""ahler manifolds. We give
here a much simpler proof based on current theory. The idea is to construct
local meromorphic sections of $\mathrm{Im} \pi$ which locally span the fibers.
We first make this construction on every one-dimensional submanifold of $X$ and
subsequently extend it via a Hartogs-type theorem of Shiffman's.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 10:57:49 GMT""}]","2007-05-23"
"math/0311032","Shizan Fang","Shizan Fang, Tusheng Zhang","Stochastic differential equations with non-lipschitz coefficients: I.
  Pathwise uniqueness and large deviation","A short version will be published in C. R. Acad. Paris",,,,"math.PR",,"  We study a class of stochastic differential equations with non-Lipschitzian
coefficients.A unique strong solution is obtained and a large deviation
principle of Freidln-Wentzell type has been established.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 12:30:12 GMT""}]","2007-05-23"
"math/0311034","Shizan Fang","Shizan Fang, Tusheng Zhang","Stochastic differential equtions with non-lipschitz coefficients:II.
  Dependence with respect to initial values","14 pages",,,,"math.PR",,"  The existence of the unique strong solution for a class of stochastic
differential equations with non-Lipschitz coefficients was established
recently. In this paper, we shall investigate the dependence with respect to
the initial values. We shall prove that the non confluence of solutions holds
under our general conditions. To obtain a continuous version, the modulus of
continuity of coefficients is assumed to be less than $\dis
|x-y|\log{1\over|x-y|}$. In this case, it will give rise to a flow of
homeomorphisms if the coefficients are compactly supported.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 13:18:45 GMT""}]","2007-05-23"
"math/0311035","Martin Erik Horn","Martin Erik Horn","Pascal Pyramids, Pascal Hyper-Pyramids and a Bilateral Multinomial
  Theorem","6 pages, 3 figures",,,,"math.GM",,"  Part I: The two-dimensional Pascal Triangle will be generalized into a
three-dimensional Pascal Pyramid and four-, five- or whatsoever-dimensional
hyper-pyramids. Part II: The Bilateral Binomial Theorem will be generalised
into a Bilateral Trinomial Theorem resp. a Bilateral Multinomial Theorem.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 14:21:26 GMT""}]","2007-05-23"
"math/0311036","Charles Livington","Charles Livingston","Computations of the Ozsvath-Szabo knot concordance invariant","Published by Geometry and Topology at
  http://www.maths.warwick.ac.uk/gt/GTVol8/paper19.abs.html","Geom. Topol. 8 (2004) 735-742","10.2140/gt.2004.8.735",,"math.GT",,"  Ozsvath and Szabo have defined a knot concordance invariant tau that bounds
the 4-ball genus of a knot. Here we discuss shortcuts to its computation. We
include examples of Alexander polynomial one knots for which the invariant is
nontrivial, including all iterated untwisted positive doubles of knots with
nonnegative Thurston-Bennequin number, such as the trefoil, and explicit
computations for several 10 crossing knots. We also note that a new proof of
the Slice-Bennequin Inequality quickly follows from these techniques.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 15:48:25 GMT""},{""version"":""v2"",""created"":""Wed, 14 Jan 2004 14:41:13 GMT""},{""version"":""v3"",""created"":""Thu, 20 May 2004 14:28:51 GMT""}]","2014-11-11"
"nlin/0311005","Mark Mineev-Weinstein","I. Krichever, M. Mineev-Weinstein, P. Wiegmann, A. Zabrodin","Laplacian Growth and Whitham Equations of Soliton Theory","33 pages, 7 figures, typos corrected, new references added","Physica D198 (2004) 1-28","10.1016/j.physd.2004.06.003",,"nlin.SI hep-th math-ph math.MP nlin.PS",,"  The Laplacian growth (the Hele-Shaw problem) of multi-connected domains in
the case of zero surface tension is proven to be equivalent to an integrable
systems of Whitham equations known in soliton theory. The Whitham equations
describe slowly modulated periodic solutions of integrable hierarchies of
nonlinear differential equations. Through this connection the Laplacian growth
is understood as a flow in the moduli space of Riemann surfaces.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 20:33:02 GMT""},{""version"":""v2"",""created"":""Tue, 4 Nov 2003 04:53:16 GMT""},{""version"":""v3"",""created"":""Fri, 21 Nov 2003 00:40:05 GMT""},{""version"":""v4"",""created"":""Fri, 11 Jun 2004 01:03:09 GMT""}]","2009-11-10"
"nucl-ex/0311004","Andrea Dainese","Andrea Dainese (Padova University, Italy)","Charm production and in-medium QCD energy loss in nucleus-nucleus
  collisions with ALICE. A performance study","Ph.D. thesis, 259 pages, 140 figures, corrected typos, updated
  references",,,,"nucl-ex hep-ph",,"  This work is aimed at studying the performance of the ALICE detector for
measuring charm production in heavy ion collisions at the LHC and for
investigating the properties of the deconfined quark-gluon medium formed in
central nucleus-nucleus reactions by a comparison of its `opacities' to massive
(charm) quarks and massless partons.
  The topics discussed in the thesis can be summarized as follows.
  Definition of a baseline for heavy quarks production cross sections and
kinematical distributions at LHC energies, using (and comparing) pQCD tools
(HVQMNR program) and the PYTHIA event generator.
  Study of the experimental issues related to the identification of the
displaced decay vertices of charm mesons: track impact parameter resolution and
primary vertex reconstruction.
  Definition of a strategy for the exclusive reconstruction of D^0 \to K\pi
decays with ALICE in Pb-Pb and pp collisions and evaluation of the performance
in terms of momentum range, precision and accuracy of the measurement.
  Study and simulation of the predicted parton energy loss effect, including a
realistic description of the collision geometry and an algorithm to take into
account the expected lower loss for heavy quarks (dead cone effect). Assessment
of a strategy to carry out comparative measurements of the quenching of charm
quarks and massless partons and evaluation of the attainable sensitivity.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 18:47:38 GMT""},{""version"":""v2"",""created"":""Tue, 16 Dec 2003 16:00:17 GMT""}]","2007-05-23"
"nucl-th/0311005","Peter Braun-Munzinger","P. Braun-Munzinger, J. Stachel, C. Wetterich","Chemical Freeze-out and the QCD Phase Transition Temperature","final version, some comments added about ""statistical hadronization"",
  to appear in Phys. Lett. B","Phys.Lett.B596:61-69,2004","10.1016/j.physletb.2004.05.081",,"nucl-th hep-ph nucl-ex",,"  We argue that hadron multiplicities in central high energy nucleus-nucleus
collisions are established very close to the phase boundary between hadronic
and quark matter. In the hadronic picture this can be described by
multi-particle collisions whose importance is strongly enhanced due to the high
particle density in the phase transition region. As a consequence of the rapid
fall-off of the multi-particle scattering rates the experimentally determined
chemical freeze-out temperature is a good measure of the phase transition
temperature.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 16:31:02 GMT""},{""version"":""v2"",""created"":""Wed, 9 Jun 2004 07:55:33 GMT""}]","2008-11-26"
"nucl-th/0311007","Constantia Alexandrou","C. Alexandrou (Univ. of Cyprus)","Hadron deformation from Lattice QCD","7 pages, Talk given at the second Workshop on Lattice Hadron Physics,
  Cairns, Australia, 22-30 July 2003. Corrected typos",,"10.1016/S0920-5632(03)02451-4",,"nucl-th hep-lat",,"  We address the issue of hadron deformation within the framework of lattice
QCD. For hadrons with spin greater than 1/2 the deformation can be determined
by evaluating the charge and matter distributions. Deviation of the nucleon
shape from spherical symmetry is determined by evaluating the quadrupole
strength in the transition $\gamma N \to \Delta(1232)$ both in the quenched and
in the unquenched theory.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 16:29:37 GMT""},{""version"":""v2"",""created"":""Tue, 11 Nov 2003 20:53:15 GMT""}]","2009-11-10"
"nucl-th/0311008","Kouichi Hagino","K. Hagino, N. Rowley, T. Ohtsuki, M. Dasgupta, J.O. Newton, and D.J.
  Hinde","Fusion dynamics around the Coulomb barrier","10 pages, 6 ps figures. Uses aipxfm.sty. A talk given at the Tours
  Symposium on Nuclear Physics V, August 26 - 29, 2003, Tours, France",,"10.1063/1.1737099","YITP-03-78","nucl-th",,"  We perform exact coupled-channels calculations, taking into account properly
the effects of Coulomb coupling and the finite excitation energy of collective
excitations in the colliding nuclei, for three Fm formation reactions,
$^{37}$Cl + $^{209}$Bi, $^{45}$Sc + $^{197}$Au, and $^{59}$Co + $^{181}$Ta. For
the $^{37}$Cl + $^{209}$Bi and $^{45}$Sc + $^{197}$Au reactions, those
calculations well reproduce the experimental total fission cross sections, and
a part of the extra-push phenomena can be explained in terms of the Coulomb
excitations to multi-phonon states. On the other hand, for the heaviest system,
the deep-inelastic collisions become much more significant, and the fission
cross sections are strongly overestimated. We also discuss the surprisingly
large surface diffuseness parameters required to fit recent high-precision
fusion data for medium-heavy systems, in connection with the fusion supression
observed in massive systems.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 2003 07:27:51 GMT""}]","2009-11-10"
"physics/0311001","Reshetnyak Maxim","M.Reshetnyak, B.Steffen","The shell model approach to the rotating turbulence",,,,,"physics.flu-dyn physics.geo-ph",,"  Applications of the shell model of turbulence to the case of rapidly rotating
bodies are considered. Starting from the classical GOY model we introduce the
Coriolis force and obtain a $\sim k^{-2}$ spectrum for 3D hydrodynamical
turbulence for the free decay regime as well for the regime with external
forcing. Additional modifications of the GOY model providing a realistic form
of the helicity are proposed.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 18:51:00 GMT""}]","2007-05-23"
"physics/0311009","Bernard F. Riley","B. F. Riley","Mass differences of SU(3) strange hadrons","7 pages, including 3 figures",,,,"physics.gen-ph",,"  Mass differences between octet strange baryons, octet and decuplet strange
baryons, and nonet vector mesons and octet baryons of equal strangeness
coincide (within the small experimental uncertainties) with the levels of a
recently proposed hadron mass spectrum. A number, M, characterises the mass
difference in relation to the strange quark mass of the spectrum. The mass
diference of Lambda and Sigma0 (delta I=1) is characterised by M=+1. The mass
difference of Sigma0 and Sigma(1385)0 (delta J=1) is characterised by M=-1.
Vector meson-baryon (delta J=1/2) mass differences are characterised by M=-1/2.
The mass differences of strange decuplet baryon resonances (delta S=1) are
characterised by M=-2 and M=-3, where M is equal to the strangeness of the more
massive baryon.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 21:22:26 GMT""}]","2007-05-23"
