"astro-ph/0305523","Je-An Gu","Je-An Gu","Kaluza-Klein Burst: a New Mechanism for Generating Ultrahigh-Energy
  Cosmic Rays","13 pages, LaTeX",,,,"astro-ph hep-ph hep-th",,"  By invoking small extra dimensions as a good energy bearer, a new scenario
for understanding the origin of ultrahigh-energy cosmic rays (UHECRs), from
both the bottom-up and the top-down viewpoints, is proposed. We explore the
possibility of generating UHECRs via Kaluza-Klein (KK) bursts, a violent energy
transfer from extra dimensions to ordinary dimensions through collisions
between KK modes, in particular, within clumps of KK modes. The possible scales
of these clumps range from the astronomical, e.g. KK stellar compact objects,
to the microscopic, e.g. ""KKonium"". Advantages of this KK burst model of UHECRs
and possible signatures of clumped KK modes are discussed.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 18:53:45 GMT""},{""version"":""v2"",""created"":""Thu, 10 Nov 2005 21:46:37 GMT""}]","2007-05-23"
"hep-ex/0305096","Serguei Kolos","S.Kolos, I.Alexandrov, A.Amorim, M.Barczyk, E.Badescu,
  D.Burckhart-Chromek, M.Caprini, J.Da Silva Conceicao, M.Dobson, J.Flammer,
  R.Hart, R.Jones, A.Kazarov, D.Klose, V.Kotov, D.Liko, J.Lima, L.Lucio,
  L.Mapelli, M.Mineev, L.Pedro, Yu.Ryabov, I.Soloviev, H.Wolters","Online Monitoring software framework in the ATLAS experiment","Talk from the 2003 Computing in High Energy and Nuclear Physics
  (CHEP03), La Jolla, Ca, USA, March 2003, 6 pages, PDF. PSN THGT003",,,,"hep-ex",,"  A fast, efficient and comprehensive monitoring system is a vital part of any
HEP experiment. This paper describes the software framework that will be used
during ATLAS data taking to monitor the state of the data acquisition and the
quality of physics data in the experiment. The framework has been implemented
by the Online Software group of the ATLAS Trigger&Data Acquisition (TDAQ)
project and has already been used for several years in the ATLAS test beams at
CERN. The inter-process communication in the framework is implemented via
CORBA, which provides portability between different operating systems and
programming languages. This paper will describe the design and the most
important aspects of the online monitoring framework implementation. It will
also show some test results, which indicate the performance and scalability of
the current implementation.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 16:26:14 GMT""},{""version"":""v2"",""created"":""Fri, 30 May 2003 15:06:22 GMT""}]","2007-05-23"
"hep-ex/0305097","Marcin Nowak","Marcin Nowak, Krzysztof Nienartowicz, Andrea Valassi, Magnus Lubeck,
  Dirk Geppert (CERN)","Objectivity Data Migration","Talk from the 2003 Computing in High Energy and Nuclear Physics
  (CHEP03), La Jolla, Ca, USA, March 2003, 7 pages, PDF. PSN THKT001",,,,"hep-ex",,"  In this article we describe the migration of event data collected by the
COMPASS and HARP experiments at CERN. Together these experiments have over
300TB of physics data stored in Objectivity/DB that had to be transferred to a
new data management system by the end of Q1 2003 and Q2 2003 respectively. To
achieve this, data needed to be processed with a rate close to 100MB/s,
employing 14 tape drives and a cluster of 30 Linux servers. The new persistency
solution to accommodate the data is built upon relational databases for
metadata storage and standard ""flat"" files for the event data. The databases
contain collections of 109 events and allow generic queries or direct
navigational access to the data, preserving the original C++ user API. The
central data repository at CERN is implemented using several Oracle9i servers
on Linux and the CERN Mass Storage System CASTOR.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 17:08:28 GMT""}]","2007-05-23"
"hep-ex/0305098","Claudio Grandi","C.Grandi","BOSS: a tool for batch job monitoring and book-keeping","Talk from the 2003 Computing in High Energy and Nuclear Physics
  (CHEP03), La Jolla, Ca, USA, March 2003, 4 pages, PDF. THET001",,,,"hep-ex",,"  BOSS (Batch Object Submission System) has been developed to provide real-time
monitoring and bookkeeping of jobs submitted to a compute farm system. The
information is persistently stored in a relational database (MySQL in the
current version) for further processing. By means of user-supplied filters,
BOSS extracts the specific job information to be monitored from the standard
input, output and error of the job itself and stores it in the database in a
structured form that allows easy and efficient access. BOSS has been
successfully used by all CMS Regional Centers for managing Monte Carlo data
productions in 2002. Furthermore in fall 2002 it has been used in a prototype
of the CMS production system deployed on the European DataGrid test bed
demonstrating its ability to be used also in a grid environment.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 18:06:05 GMT""}]","2007-05-23"
"hep-ex/0305099","Claudio Grandi","C.Grandi (on behalf of the CMS Computing and Core Software group)","Plans for the Integration of grid tools in the CMS computing environment","Talk from the 2003 Computing in High Energy and Nuclear Physics
  (CHEP03), La Jolla, Ca, USA, March 2003, 4 pages, PDF. PSN THCT004",,,,"hep-ex",,"  The CMS collaboration has a long term need to perform large-scale simulation
efforts, in which physics events are generated and their manifestations in the
CMS detector are simulated. Simulated data are then reconstructed and analyzed
by the physicists to support detector design and the design of the real-time
event filtering algorithms that will be used when CMS is running. Up to year
2002 the distribution of tasks among the different regional centers has been
done mainly through manual operations, even though some tools for data transfer
and centralization of the book-keeping were developed. In 2002 the first
prototypes of CMS distributed productions based on grid middleware have been
deployed, demonstrating that it is possible to use them for real data
production tasks. In this work we present the plans of the CMS experiment for
building a production and analysis environment based on the grid technologies
in time for the next big Data Challenge, which is foreseen for the beginning of
year 2004.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 18:06:28 GMT""}]","2007-05-23"
"hep-ex/0305100","Pam Morehouse","D. Besson, et al. (CLEO Collaboration)","Observation of a Narrow Resonance of Mass 2.46 GeV/c^2 Decaying to
  D_s^*+ pi^0 and Confirmation of the D_sJ^* (2317) State","16 pages postscript, also available through
  http://w4.lns.cornell.edu/public/CLNS, version to be published in Physical
  Review D; minor modifications and fixes to typographical errors, plus an
  added section on production properties. The main results are unchanged; they
  supersede those reported in hep-ex/0305017","Phys.Rev.D68:032002,2003; Erratum-ibid.D75:119908,2007","10.1103/PhysRevD.68.032002 10.1103/PhysRevD.75.119908","CLNS03/1826, CLEO 03-09","hep-ex",,"  Using 13.5 inverse fb of e+e- annihilation data collected with the CLEO II
detector we have observed a narrow resonance in the Ds*+pi0 final state, with a
mass near 2.46 GeV. The search for such a state was motivated by the recent
discovery by the BaBar Collaboration of a narrow state at 2.32 GeV, the
DsJ*(2317)+ that decays to Ds+pi0. Reconstructing the Ds+pi0 and Ds*+pi0 final
states in CLEO data, we observe peaks in both of the corresponding
reconstructed mass difference distributions, dM(Dspi0)=M(Dspi0)-M(Ds) and
dM(Ds*pi0)=M(Ds*pi0)-M(Ds*), both of them at values near 350 MeV. We interpret
these peaks as signatures of two distinct states, the DsJ*(2317)+ plus a new
state, designated as the DsJ(2463)+. Because of the similar dM values, each of
these states represents a source of background for the other if photons are
lost, ignored or added. A quantitative accounting of these reflections confirms
that both states exist. We have measured the mean mass differences <dM(Dspi0)>
= 350.0 +/- 1.2 [stat] +/- 1.0 [syst] MeV for the DsJ*(2317) state, and
<dM(Ds*pi0)> = 351.2 +/- 1.7 [stat] +/- 1.0 [syst] MeV for the new DsJ(2463)+
state. We have also searched, but find no evidence, for decays of the two
states via the channels Ds*+gamma, Ds+gamma, and Ds+pi+pi-. The observations of
the two states at 2.32 and 2.46 GeV, in the Ds+pi0 and Ds*+pi0 decay channels
respectively, are consistent with their interpretations as (c anti-strange)
mesons with orbital angular momentum L=1, and spin-parities of 0+ and 1+.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 20:20:47 GMT""},{""version"":""v2"",""created"":""Mon, 7 Jul 2003 14:38:47 GMT""}]","2014-11-17"
"hep-ex/0305101","Pino Di Sciascio","S. Mastroianni (1), A. Aloisio (2), S. Catalanotti (1), S. Cavaliere
  (1), P. Bernardini (3), P. Creti (3), I. De Mitri (3), G. Marsella (3), M.
  Panareo (3), A. Surdo (3) (for the ARGO-YBJ collaboration) ((1) Dip. di
  Fisica Universita' di Napoli and INFN sez. di Napoli, Napoli, Italy (2)
  Universita' del Sannio, Benevento and INFN sez. di Napoli, Napoli, Italy (3)
  Dip. di Fisica Universita' di Lecce and INFN sez. di Lecce, Lecce, Italy)","The Trigger System of the ARGO-YBJ detector","4 pages, to be published in the Proceedings of the 28th International
  Cosmic Ray Conference (Tsukuba, Japan 2003)","IEEE Trans.Nucl.Sci. 51 (2004) 1835-1839","10.1109/TNS.2004.832977",,"hep-ex",,"  The ARGO-YBJ experiment has been designed to detect air shower events over a
large size scale and with an energy threshold of a few hundreds GeV. The
building blocks of the ARGO-YBJ detector are single-gap Resistive Plate
Counters (RPCs). The trigger logic selects the events on the basis of their hit
multiplicity. Inclusive triggers as well as dedicated triggers for specific
physics channels or calibration purposes have been developed. This paper
describes the architecture and the main features of the trigger system.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 08:06:07 GMT""}]","2019-08-15"
"hep-ex/0305102","Pino Di Sciascio","M. Iacovacci (1), S. Catalanotti (1), P. Creti (2), G. Liguori (3), L.
  Saggese (1) (for the ARGO-YBJ Collaboration) ((1) Dip. di Fisica Universita'
  di Napoli and INFN sez. di Napoli, Napoli, Italy (2) Dip. di Fisica
  Universita' di Lecce and INFN sez. di Lecce, Lecce, Italy (3) INFN sez.
  Pavia, Pavia, Italy)","Analog read-out of the RPCs in the ARGO-YBJ experiment","4 pages, to be published in the Proceedings of the 28th International
  Cosmic Ray Conference (Tsukuba, Japan 2003)",,,,"hep-ex",,"  The ARGO-YBJ experiment, currently under construction at the Yangbaijing
Laboratory (4300 m a.s.l.), consists of a single layer of about 2000 Resistive
Plate Chambers (RPCs) for a total instrumented area of about 6700 m^2. The
digital read-out, performed by means of pick-up electrodes 6.7 X 62 cm^2
('strips'), allows one to measure the particle number of small size showers. To
extend the size range up to the knee region it is necessary to implement the
charge read-out of the detector chambers. In order to achieve this goal each
RPC has been instrumented with two large size pads of dimensions 140 X 125
cm^2. In this paper the performance of the prototype circuit devoted to the
charge read-out is reported.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 08:59:46 GMT""}]","2019-08-15"
"hep-ex/0305104","Rosario Esposito","F. Acernese, F. Barone, R. De Rosa, R. Esposito, P. Mastroserio, L.
  Milano, S. Pardi, K.Qipiani, G. Spadaccini","A GRID solution for Gravitational Waves Signal Analysis from Coalescing
  Binaries: preliminary algorithms and tests","Talk from the 2003 Computing in High Energy and Nuclear Physics
  (CHEP03), La Jolla, Ca, USA, March 2003, 5 pages, PDF. PSN TULP001",,,,"hep-ex",,"  The analysis of data coming from interferometric antennas for gravitational
waves detection may require a huge amount of computing power. The usual
approach to the detection strategy is to set-up computer farms able to perform
several tasks in parallel, exchanging data through network links. In this paper
a new computation strategy is presented. This strategy is based on the GRID
environment that allows several geographically distributed computing resources
to exchange data and programs in secure way, using standard infrastructures.
The computing resources can be geographically distributed also on a large
scale. Some preliminary tests were performed using a subnetwork of the GRID
infrastructure, producing good results in terms of distribution efficiency and
time duration.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 14:03:33 GMT""}]","2007-05-23"
"hep-lat/0305023","Biro Tamas","T.S.Biro (KFKI Budapest), B.Mueller (Duke University, NC, USA) and
  S.G. Matinyan (Yerevan Inst. for Physics, Armenia)","Beyond Quantum Field Theory: Chaotic Lattices?","Invited talk given at the Idea Finding Symposium for the Frankfurt
  Institute for Advanced Study (FIAS), April 14-17, 2003, Frankfurt am Main,
  Germany. (LateX 10 pages, 3 postscript figures.)",,,,"hep-lat",,"  We review the idea of chaotic quantization, based on the dynamics of
classical lattice gauge systems as well as on non-abelian plasma physics in the
infrared limit. The basic conjecture between Planck constant and properties of
the five dimensional classical theory (h=aT) is demonstrated numerically for
the U(1) lattice gauge group.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 08:54:36 GMT""}]","2007-05-23"
"hep-ph/0305310","Marcelo D. Marucho","Marcelo D. Marucho, C. A. Garcia Canal and H. Fanchiotti","The Landau Distribution for Charged Particles Traversing Thin Films","29 pages, 4 Tables","Int.J.Mod.Phys. C17 (2006) 1461-1476","10.1142/S0129183106009928",,"hep-ph",,"  The Landau distribution as well as its first and second momenta are well
suited for describing the energy loss of charged particles traversing a thin
layer of matter. At present, just rational approximations and asymptotic
expressions for these functions were obtained. In this paper we present a
direct calculation of the integral representation of these functions obtaining
perturbative and nonperturvative solutions expressed in terms of fast
convergent series. We also provide a simple numerical algorithm which allows to
control speed and precision of the results. The testing runs have provided, in
reasonable computing times, correct results up to 13-14 significant digits on
the density and distribution functions and 9-10 on the first and second
momenta. If necessary, this accuracy could be improved by adding more
coefficients to the algorithm.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 18:11:15 GMT""},{""version"":""v2"",""created"":""Mon, 10 Apr 2006 17:23:07 GMT""},{""version"":""v3"",""created"":""Mon, 23 Oct 2006 15:58:33 GMT""}]","2009-11-10"
"hep-ph/0305312","Thomas Schwetz","M. Maltoni, T. Schwetz, M.A. Tortola and J.W.F. Valle","Can four neutrinos explain global oscillation data including LSND and
  cosmology?","Talk given by T.S. at the NOON 2003 workshop, February 10-14, 2003,
  Kanazawa, Japan, 10 pages, 5 figures",,,"TUM-HEP-513/03","hep-ph",,"  We present an analysis of the global neutrino oscillation data in terms of
four-neutrino mass schemes. We find that the strong preference of oscillations
into active neutrinos implied by solar+KamLAND as well as atmospheric neutrino
data allows to rule out (2+2) mass schemes, whereas (3+1) schemes are strongly
disfavoured by short-baseline experiments. In addition, we perform an analysis
using recent data from cosmology, including CMB data from WMAP and data from
2dFGRS large scale structure surveys. These data lead to further restrictions
of the allowed regions for the (3+1) mass scheme.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 18:57:55 GMT""}]","2007-05-23"
"hep-ph/0305313","Adrian Ghinculov","Adrian Ghinculov","Two-loop virtual QCD correction to the B -> X_s l+l- decay","Talk presented at the Moriond 2003 conference",,,,"hep-ph",,"  I discuss an application of numerical techniques for massive two-loop Feynman
diagram evaluation to a phenomenologically very important rare decay process, B
-> X_s l+l-. This process, currently being measured at B factories, has been
calculated at two-loop level in the lower dilepton invariant mass perturbative
window by a previous collaboration. We extended this result, by using numerical
integration methods, to the whole observable spectrum of the dilepton invariant
mass consistent with the perturbative QCD regime.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 20:09:57 GMT""}]","2007-05-23"
"hep-ph/0305314","Fernando Marroquim Leao de Almeida Jr.","F.M.L.Almeida Jr (UFRJ), Y.A.Coutinho (UFRJ), J.A. Martins Simoes
  (UFRJ), S. Wulck and M. A. B. do Vale (USJ)","New heavy charged leptons at future high energy electron-positron
  colliders","21 pages(text+figures), 12 figures email: simoes@if.ufrj.br","Eur.Phys.J.C30:327-335,2003","10.1140/epjc/s2003-01298-9",,"hep-ph",,"  New heavy charged lepton production and decay signatures at future
electron-positron colliders are investigated at $\sqrt {s}=500$ GeV. The
consequences of model dependence for vector singlets and vector doublets are
studied. Distributions are calculated including hadronization effects and
experimental cuts that suppress the standard model background. The final state
leptonic energy distributions are shown to give a very clear signature for
heavy charged leptons.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 20:13:42 GMT""}]","2008-11-26"
"hep-ph/0305315","Jonathan L. Rosner","Jonathan L. Rosner","Theoretical Issues in $b$ Physics","18 pages, LaTeX, 4 figures, invited talk presented at LHC 2003
  Symposium, Fermilab, May 1-3, 2003. Proceedings to be published by
  Springer-Verlag. Two figures and one CP asymmetry updated; more direct use
  made of CP asymmetry information in B -> K pi decays","Eur.Phys.J.C34:s365-s374,2004","10.1140/epjcd/s2004-04-036-4","EFI 03-26","hep-ph",,"  Examples are given of some current questions in $b$ physics to which LHC
experiments may provide answers. These include (i) the precise determination of
parameters of the Cabibbo-Kobayashi-Maskawa (CKM) matrix; (ii) measurements of
CKM phases using B decays to CP eigenstates; (iii) the search for direct CP
asymmetries in B decays; (iv) rare radiative B decays; (v) the study of $B_s$
properties and decays, (vi) excited states of $B$ and $B_s$ mesons, and (vii)
the search for heavier quarks which could mix with the $b$ quark.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 20:24:43 GMT""},{""version"":""v2"",""created"":""Sat, 31 May 2003 21:03:41 GMT""},{""version"":""v3"",""created"":""Sun, 22 Jun 2003 22:07:49 GMT""},{""version"":""v4"",""created"":""Thu, 26 Jun 2003 22:00:18 GMT""},{""version"":""v5"",""created"":""Fri, 27 Jun 2003 22:33:45 GMT""}]","2010-11-23"
"hep-ph/0305316","Robert L. Thews","R. L. Thews","An assessment of J/Psi formation in the light of initial RHIC data","6 pages, 5 figures, presented at SQM2003, March 12-17, 2003. To be
  published in J. Phys. G","J.Phys. G30 (2004) S369-S374","10.1088/0954-3899/30/1/044",,"hep-ph nucl-ex nucl-th",,"  Predictions of J/Psi formation at RHIC via ""off-diagonal"" combinations of
charm and anticharm quarks in a region of color deconfinement are confronted
with initial data from the PHENIX collaboration. We find that the measured
centrality behavior places significant constraints on the various parameters
which control model calculations of J/Psi formation. Within present statistical
and systematic uncertainties, one can map out a region of parameter space
within which the contribution of formation in a deconfined phase is allowed. As
these uncertainties decrease and new data from d-Au interactions becomes
available, it is expected that definitive tests for the presence of this
formation mechanism will be possible. We anticipate that the rapidity and
transverse momentum spectra will prove decisive for a final determination.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 21:06:10 GMT""}]","2009-11-10"
"hep-ph/0305317","Josephine Bolosan","S. Pakvasa","Neutrino Decays and Neutrino Telescopes","10 pages, Latex, presented at the Tenth International Conference on
  Neutrino Telescopes, Mar 11-14, 2003; Venice, Italy",,,"UH-511-1027-03","hep-ph astro-ph hep-ex",,"  It is shown how deviations of neutrino flavor mix from the canonical 1 : 1 :
1 in high energy astrophysical neutrinos can provide evidence for neutrino
decays with lifetimes as long as $10^4 s/eV$.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 01:50:22 GMT""}]","2007-05-23"
"hep-ph/0305318","I","V.V.Rubish","WKB Method and Relativistic Potential Models","LaTeX, 15 pages, 2 figures; Presented at the XIV International
  Workshop ""Mathematical Theories and their Physical & Technical Applications""
  28 October - 08 November 2002, Chernivtsi, Ukraine (to be published in
  Proceedings)",,,,"hep-ph",,"  Based on the Dirac approach we have developed the relativistic vision of the
WKB method for centrally symmetrical potential with mixed Lorenz structure. We
have obtained relativistic wavefunctions of light quark and the new rule of
quantization containing the spin-orbit interaction. These gives us the
possibility of finding the energy levels and decay width of hydrogen-like
quark-systems.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 08:20:27 GMT""}]","2007-05-23"
"hep-ph/0305319","Fuminobu Takahashi","Masahiro Kawasaki and Fuminobu Takahashi","Inflation model with lower multipoles of the CMB suppressed","4 pages, 1 figure. Some references and 1 figure are added","Phys.Lett. B570 (2003) 151-153","10.1016/j.physletb.2003.08.005","RESCEU-18/03","hep-ph astro-ph",,"  The recent observation of the cosmic microwave background anisotropy by the
WMAP confirmed that the lower multipoles are considerably suppressed. From the
standpoint of the cosmic variance, it is nothing but a statistical accident.
Alternatively, one can attribute the deficit of fluctuation on the large scale
to the cosmic history, which might be explained in the context of the
inflationary physics. In this paper, we show that it is possible to explain the
suppressed lower multipoles in the hybrid new inflation model.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 10:53:34 GMT""},{""version"":""v2"",""created"":""Tue, 29 Jul 2003 05:31:57 GMT""}]","2009-11-10"
"hep-ph/0305320","Shabalin Evgeny","Evgeny Shabalin","Semi-Phenomenological Approach to the Estimate of CP Effects in $K^{\pm}
  \to 3 \pi $ Decays","9 pages, Report at ""Les Rencontres de Physique de la Vallee d'Aoste""",,,,"hep-ph",,"  The amplitudes of the $K^{\pm} \to 3\pi$ and $K \to 2\pi$ decays are
expressed in terms of different combinations of one and the same set of
CP-conserving and CP-odd parameters. Extracting the magnitudes of these
parameters from the data on $K \to 2\pi$ dacays, we estimate an expected CP-odd
difference between the values of the slope parameters $g^+$ and $g^-$ of the
energy distributions of ""odd"" pions in $K^+ \to \pi^+\pi^+ \pi^-$ and $K^- \to
\pi^-\pi^-\pi^+$ decays.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 11:19:04 GMT""}]","2007-05-23"
"hep-ph/0305321","Oliver Brein","Oliver Brein and Wolfgang Hollik","MSSM Higgs bosons associated with high-pT jets at hadron colliders","20 pages","Phys.Rev. D68 (2003) 095006","10.1103/PhysRevD.68.095006","MPI-PhT/2003-25","hep-ph",,"  The cross section for the production of the lightest neutral Higgs boson in
association with a high-pT hadronic jet, calculated in the framework of the
minimal supersymmetric standard model (MSSM), is presented. The expectations
for the hadronic cross section at the Large Hadron Collider are discussed using
reasonable kinematical cuts. In particular the contributions from superpartner
loops to the cross section and their dependence on the parameters of the MSSM
are investigated and found to be significant. Comparisons show that the
production rate for h0 + jet in the MSSM can differ widely from the
corresponding standard-model prediction.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 13:29:03 GMT""}]","2009-11-10"
"hep-ph/0305322","Michele Frigerio","Evgeny Kh. Akhmedov (ICTP, Trieste), Michele Frigerio (INFN & SISSA,
  Trieste), Alexei Yu. Smirnov (ICTP, Trieste & INR, Moscow)","Probing the seesaw mechanism with neutrino data and leptogenesis","30 pages, 2 eps figures, JHEP3.cls, typos corrected, note (and
  references) added on non-thermal leptogenesis","JHEP0309:021,2003","10.1088/1126-6708/2003/09/021","NSF-KITP-03-35, SISSA 46/2003/EP","hep-ph astro-ph hep-ex",,"  In the framework of the seesaw mechanism with three heavy right-handed
Majorana neutrinos and no Higgs triplets we carry out a systematic study of the
structure of the right-handed neutrino sector. Using the current low-energy
neutrino data as an input and assuming hierarchical Dirac-type neutrino masses
$m_{Di}$, we calculate the masses $M_i$ and the mixing of the heavy neutrinos.
We confront the inferred properties of these neutrinos with the constraints
coming from the requirement of a successful baryogenesis via leptogenesis. In
the generic case the masses of the right-handed neutrinos are highly
hierarchical: $M_i \propto m_{Di}^2$; the lightest mass is $M_1 \approx 10^3 -
10^6$ GeV and the generated baryon-to-photon ratio $\eta_B\lesssim 10^{-14}$ is
much smaller than the observed value. We find the special cases which
correspond to the level crossing points, with maximal mixing between two
quasi-degenerate right-handed neutrinos. Two level crossing conditions are
obtained: ${m}_{ee}\approx 0$ (1-2 crossing) and $d_{12}\approx 0$ (2-3
crossing), where ${m}_{ee}$ and $d_{12}$ are respectively the 11-entry and the
12-subdeterminant of the light neutrino mass matrix in the basis where the
neutrino Yukawa couplings are diagonal. We show that sufficient lepton
asymmetry can be produced only in the 1-2 crossing where $M_1 \approx M_2
\approx 10^{8}$ GeV, $M_3 \approx 10^{14}$ GeV and $(M_2 - M_1)/ M_2 \lesssim
10^{-5}$.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 15:15:55 GMT""},{""version"":""v2"",""created"":""Fri, 11 Jul 2003 10:24:53 GMT""},{""version"":""v3"",""created"":""Wed, 17 Sep 2003 10:06:46 GMT""}]","2009-11-10"
"hep-ph/0305323","Eri Asakawa","Eri Asakawa, and Kaoru Hagiwara","Probing the CP nature of the Higgs bosons by top-pair production at
  photon linear colliders","34 pages, LATEX file with 6 PS figures, comments added","Eur.Phys.J.C31:351-364,2003","10.1140/epjc/s2003-01280-7","UT-ICEPP 03-04 and KEK-TH-888","hep-ph",,"  We study effects of heavy Higgs bosons on the top-pair production process at
photon linear colliders. The interference patterns between the resonant
Higgs-production amplitudes and the continuum QED amplitudes are examined. The
patterns tell us not only the CP nature of the Higgs bosons but also the phase
of the $\gamma\gamma$--Higgs vertex which gives new information about the Higgs
couplings to new charged particles. We point out that it is necessary to use
circularly polarized photon beams to produce efficiently heavy Higgs bosons
whose masses exceed the electron beam energy, and show that the above
interference patterns of the production amplitudes can be studied by observing
top decay angular distributions. Analytic expressions for the helicity
amplitudes for the sequential process $\gamma\gamma \to t \bar{t} \to (bW^+)
(\bar{b}W^-) \to (b f_1 \bar{f}_2) (\bar{b} f_3 \bar{f}_4)$ are presented in
terms of the generic $\gamma\gamma \to t \bar{t}$ production amplitudes.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 15:32:14 GMT""},{""version"":""v2"",""created"":""Fri, 30 May 2003 12:52:30 GMT""}]","2011-07-19"
"hep-th/0305246","Dr. Valeri Dvoeglazov","Valeri V. Dvoeglazov (Universidad de Zacatecas, Zac., Mexico)","Base de Helicidad y Paridad","In Spanish. Misprints corrected","Memorias de la 8a Reunion Nacional Academica de Fisica y
  Matematicas, Mayo 2003, ESFM-IPN, Eds. Jose M. Rivera et al., pp. 45-54",,,"hep-th",,"  We study the theory of the Lorentz group (1/2,0)+(0,1/2) representation in
the helicity basis of the corresponding 4-spinors. As Berestetski, Lifshitz and
Pitaevskii mentioned, the helicity eigenstates are not the parity eigenstates.
Relations with the Gelfand-Tsetlin-Sokolik-type quantum field theory are
discussed. Finally, a new form of the parity operator (which commutes with the
Hamiltonian) is proposed in the Fock space.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 18:36:14 GMT""},{""version"":""v2"",""created"":""Thu, 29 May 2003 03:13:01 GMT""},{""version"":""v3"",""created"":""Fri, 27 Jun 2003 17:28:14 GMT""}]","2007-05-23"
"hep-th/0305247","Henriette Elvang","Henriette Elvang","A Charged Rotating Black Ring","25 pages, 1 figure","Phys.Rev. D68 (2003) 124016","10.1103/PhysRevD.68.124016",,"hep-th gr-qc",,"  We construct a supergravity solution describing a charged rotating black ring
with S^2xS^1 horizon in a five dimensional asymptotically flat spacetime. In
the neutral limit the solution is the rotating black ring recently found by
Emparan and Reall. We determine the exact value of the lower bound on J^2/M^3,
where J is the angular momentum and M the mass; the black ring saturating this
bound has maximum entropy for the given mass. The charged black ring is
characterized by mass M, angular momentum J, and electric charge Q, and it also
carries local fundamental string charge. The electric charge distributed
uniformly along the ring helps support the ring against its gravitational
self-attraction, so that J^2/M^3 can be made arbitrarily small while Q/M
remains finite. The charged black ring has an extremal limit in which the
horizon coincides with the singularity.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 18:45:15 GMT""},{""version"":""v2"",""created"":""Tue, 22 Jul 2003 22:53:59 GMT""}]","2009-11-10"
"hep-th/0305248","Seiberg","Nathan Seiberg","Noncommutative Superspace, N=1/2 Supersymmetry, Field Theory and String
  Theory","19 pages","JHEP 0306:010,2003","10.1088/1126-6708/2003/06/010",,"hep-th",,"  We deform the standard four dimensional $\N=1$ superspace by making the odd
coordinates $\theta$ not anticommuting, but satisfying a Clifford algebra.
Consistency determines the other commutation relations of the coordinates. In
particular, the ordinary spacetime coordinates $x$ cannot commute. We study
chiral superfields and vector superfields and their interactions. As in
ordinary noncommutative field theory, a change of variables allows us to
express the gauge interactions in terms of component fields which are subject
to standard gauge transformation laws. Unlike ordinary noncommutative field
theories, the change of the Lagrangian is a polynomial in the deformation
parameter. Despite the deformation, the noncommutative theories still have an
antichiral ring with all its usual properties. We show how these theories with
precisely this deformation arise in string theory in a graviphoton background.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 19:11:30 GMT""}]","2009-11-10"
"hep-th/0305249","Won Sik l'Yi","Jin Hyun Chung and Won Sik L'Yi","The energy-carrying velocity and rolling of tachyons of unstable
  D-branes","12 pages, no figure. v2: interpretation of the solution included",,,,"hep-th",,"  It is shown that the tachyons which originate from unstable D-branes carry
energy and momentum at the velocity $\beta = c^2/v,$ where $v$ is the phase
velocity which is greater than $c.$ For an observer who moves with the velocity
$\beta,$ tachyon is observed to be moving from one of the ground states of the
tachyon potential to the potential hill. It is found that tachyon either passes
over the hill or bounces back to the original ground state. Another possible
solution is the case which is margial to these, that is tachyon reaches to the
top of the potential hill and stays there forever.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 14:25:32 GMT""},{""version"":""v2"",""created"":""Fri, 14 Nov 2003 15:48:24 GMT""}]","2016-09-06"
