"astro-ph/0310780","Stanislav Boldyrev","Stanislav Boldyrev and Fausto Cattaneo (U. Chicago)","On magnetic field generation in Kolmogorov turbulence","4 pages, revised, new material added","Phys.Rev.Lett. 92 (2004) 144501","10.1103/PhysRevLett.92.144501",,"astro-ph physics.flu-dyn",,"  We analyze the initial, kinematic stage of magnetic field evolution in an
isotropic and homogeneous turbulent conducting fluid with a rough velocity
field, v(l) ~ l^alpha, alpha<1. We propose that in the limit of small magnetic
Prandtl number, i.e. when ohmic resistivity is much larger than viscosity, the
smaller the roughness exponent, alpha, the larger the magnetic Reynolds number
that is needed to excite magnetic fluctuations. This implies that numerical or
experimental investigations of magnetohydrodynamic turbulence with small
Prandtl numbers need to achieve extremely high resolution in order to describe
magnetic phenomena adequately.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 18:39:56 GMT""},{""version"":""v2"",""created"":""Wed, 26 Nov 2003 18:07:55 GMT""}]","2007-05-23"
"cs/0310056","Judith Beumer","William McCune","OTTER 3.3 Reference Manual","66 pages",,,"ANL/MCS-TM-263","cs.SC cs.MS",,"  OTTER is a resolution-style theorem-proving program for first-order logic
with equality. OTTER includes the inference rules binary resolution,
hyperresolution, UR-resolution, and binary paramodulation. Some of its other
abilities and features are conversion from first-order formulas to clauses,
forward and back subsumption, factoring, weighting, answer literals, term
ordering, forward and back demodulation, evaluable functions and predicates,
Knuth-Bendix completion, and the hints strategy. OTTER is coded in ANSI C, is
free, and is portable to many different kinds of computer.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 19:17:38 GMT""}]","2007-05-23"
"cs/0310057","Judith Beumer","Uwe Naumann and Andrea Walther","An Introduction to Using Software Tools for Automatic Differentiation","23 pages",,,"ANL/MCS-TM-254","cs.MS",,"  We give a gentle introduction to using various software tools for automatic
differentiation (AD). Ready-to-use examples are discussed, and links to further
information are presented. Our target audience includes all those who are
looking for a straightforward way to get started using the available AD
technology. The document is dynamic in the sense that its content will be
updated as the AD software evolves.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 19:41:44 GMT""}]","2007-05-23"
"gr-qc/0310120","Ola Wingbrant","Ola Wingbrant","Highly structured tensor identities for (2,2)-forms in four dimensions","LaTeX2e, 18 pages",,,,"gr-qc",,"  In an n dimensional vector space, any tensor which is antisymmetric in k>n
arguments must vanish; this is a trivial consequence of the limited number of
dimensions. However, when other possible properties of tensors, for example
trace-freeness, are taken into account, such identities may be heavily
disguised. Tensor identities of this kind were first considered by Lovelock,
and later by Edgar and Hoeglund.
  In this paper we continue their work. We obtain dimensionally dependent
identities for highly structured expressions of products of (2,2)-forms. For
tensors possessing more symmetries, such as block symmetry W_{abcd} = W_{cdab},
or the first Bianchi identity W_{a[bcd]} = 0, we derive identities for less
structured expressions.
  These identities are important tools when studying super-energy tensors, and,
in turn, deriving identities for them. As an application we are able to show
that the Bel-Robinson tensor, the super-energy tensor for the Weyl tensor,
satisfies the equation T_{abcy}T^{abcx} = 1/4g^{x}_{y}T_{abcd}T^{abcd} in four
dimensions, irrespective of the signature of the space.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 11:38:06 GMT""}]","2007-05-23"
"hep-ex/0310055","Matthias T\""onnesmann","Matthias Toennesmann (MPI Munich and Michigan State U.) (for the CDF
  Collaboration)","Measurements of Jet and Multijet Cross Sections with the CDF Detector","3 pages, 3 figures. To appear in: Proceedings of the International
  Europhysics Conference on High Energy Physics (EPS-HEP 2003), Aachen,
  Germany, July 17-23, 2003","Eur.Phys.J.C33:s422-s424,2004","10.1140/epjcd/s2004-03-1655-0","FERMILAB-Conf-03/354-E, MPP-2003-115","hep-ex",,"  Recent measurements of jet and multijet production cross sections from ppbar
collisions recorded with the Collider Detector at Fermilab (CDF) are
summarized. First Run II results of the inclusive one jet cross section at
sqrt(s) = 1.96 TeV as well as prospects for future extensions of this
measurement are presented. We also studied the properties of three-jet events
in Run Ib data at sqrt(s) = 1.8 TeV. All results are compared to predictions of
Quantum Chromodynamics at next-to-leading order perturbation theory.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 20:58:31 GMT""}]","2019-08-14"
"hep-lat/0310060","Huey-Wen Lin","Huey-Wen Lin","Non-Perturbative Renormalization and the Fermilab Action","Lattice2003(improve), 3 pages, 2 figures",,"10.1016/S0920-5632(03)02604-5",,"hep-lat",,"  We discuss the application of the regularization independent (RI) scheme of
Rome/Southampton to determine the normalization of heavy quark operators
non-perturbatively using the Fermilab action.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 22:37:20 GMT""},{""version"":""v2"",""created"":""Thu, 30 Oct 2003 16:11:31 GMT""}]","2009-11-10"
"hep-ph/0310316","Sandhya Choubey","Sandhya Choubey, Probir Roy","Testing whether muon neutrino flavor mixing is maximal","Some revision has been made in the experimental discussions with two
  new figures replacing the old ones and a clarification of the accuracy of the
  perturbative result has been included. This version will be published in
  Physical Review Letters. Title changed as asked by the editors of Physical
  Review Letters","Phys.Rev.Lett. 93 (2004) 021803","10.1103/PhysRevLett.93.021803","TIFR/TH/03-20, SISSA 95/2003/EP","hep-ph hep-ex",,"  The small difference between the survival probabilities of muon neutrino and
antineutrino beams, traveling through earth matter in a long baseline
experiment such as MINOS, is shown to be an important measure of any possible
deviation from maximality in the flavor mixing of those states.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 17:19:14 GMT""},{""version"":""v2"",""created"":""Wed, 19 May 2004 08:59:18 GMT""}]","2009-11-10"
"hep-ph/0310317","Stefan W. Bosch","Stefan W. Bosch (Cornell U., LEPP)","Constraining the Unitarity Triangle with B -> K* gamma and B -> rho
  gamma","3 pages; To appear in the proceedings of International Europhysics
  Conference on High-Energy Physics (HEP 2003), Aachen, Germany, 17-23 Jul 2003","Eur.Phys.J.C33:s262-s264,2004","10.1140/epjcd/s2003-03-128-y","CLNS 03/1847","hep-ph",,"  We discuss the exclusive radiative decays B -> K* gamma and B -> rho gamma in
QCD factorization within the Standard Model. The analysis is based on the
heavy-quark limit of QCD. Our results for these decays are complete to
next-to-leading order in QCD and to leading order in the heavy-quark limit.
Phenomenological implications for branching ratios and isospin breaking effects
are discussed. Special emphasis is placed on constraining the CKM unitarity
triangle from these observables.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 19:15:14 GMT""}]","2010-11-23"
"hep-ph/0310318","Peter Schweitzer","P.Schweitzer, A.Bacchetta","Azimuthal single spin asymmetries in SIDIS in the light of chiral
  symmetry breaking","14 pages, 18 figures","Nucl.Phys. A732 (2004) 106-124","10.1016/j.nuclphysa.2003.12.010",,"hep-ph",,"  An attempt is made to understand the z-dependence of the azimuthal single
spin asymmetries observed by the HERMES collaboration in terms of chiral models
based on effective quark and Goldstone boson degrees of freedom. The effects of
respectively neglecting and considering Gaussian intrinsic parton transverse
momenta and the Sivers effect are explored. Predictions for the transverse
target polarization experiment at HERMES are presented.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 19:15:29 GMT""}]","2007-05-23"
"hep-ph/0310319","Leonard Gamberg","Leonard Gamberg, Gary R. Goldstein, and Karo A. Oganessyan","Novel Transversity Properties in SIDIS","To appear in the proceedings of 8th Conference on the Intersections
  of Particle and Nuclear Physics (CIPANP 2003), New York, New York, 19-24 May
  2003",,"10.1063/1.1664312",,"hep-ph",,"  We consider a rescattering mechanism to calculate a leading twist $T$-odd
pion fragmentation function, a candidate for filtering the transversity
properties of the nucleon. We evaluate the single spin azimuthal asymmetry for
a transversely polarized target in semi-inclusive deep inelastic scattering
(for HERMES kinematics) and the double $T$-odd $\cos2\phi$ asymmetry in this
framework.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 21:00:54 GMT""}]","2009-11-10"
"hep-ph/0310321","Alexander Kalloniatis","A.C. Kalloniatis (CSSM, Adelaide), S.N. Nedelko (JINR, Dubna and
  ITPIII, Erlangen)","Axial U(1) and spontaneous chiral symmetry breaking within a confining
  model of the QCD vacuum","Contribution to the Workshop on Lattice Hadron Physics II, LHP2003,
  Cairns, Australia July 22-July 30, 2003",,"10.1016/S0920-5632(03)02463-0",,"hep-ph",,"  A model for the QCD vacuum based on domain-like background gluon fields has
previously been developed and demonstrated to exhibit confinement of quarks and
strong correlation of the local chirality of quark modes and duality of the
background gluon field. On the boundary of the j-th domain, quark fluctuations
satisfy chirality violating boundary conditions parametrized by a chiral angle
$\alpha_j$ which is treated as a collective variable. The dependence of the
free energy of an ensemble of $N\to\infty$ domains on $\{\alpha_j, j=1... N\}$
is studied. For one massless flavour there are only two degenerate minima
($\alpha_j=0,\pi$ $\forall j$) due to the contribution of the anomaly to the
free energy, which suppresses the continuous U(1) degeneracy. The residual
discrete symmetry is spontaneously broken with a quark condensate of $-(238
{\rm{MeV}})^3.$ For $N_f$ massless flavours a continuous $SU(N_f)_L\times
SU(N_f)_R$ degeneracy appears, while the $U_A(1)$ direction remains suppressed.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 01:12:05 GMT""}]","2009-11-10"
"hep-ph/0310322","Michael Binger","Michael Binger and Stanley J. Brodsky","Physical Renormalization Schemes and Grand Unification","36 pages, 6 figures, corrected typos, added references","Phys.Rev.D69:095007,2004","10.1103/PhysRevD.69.095007","SLAC-PUB-9562","hep-ph",,"  In a physical renormalization scheme, gauge couplings are defined directly in
terms of physical observables. Such effective charges are analytic functions of
physical scales, and thus mass thresholds are treated with their correct
analytic dependence. In particular, particles will contribute to physical
predictions even at energies below their threshold. This is in contrast to
unphysical renormalization schemes such as MS-bar, where mass thresholds are
treated as step functions. In this paper we analyze supersymmetric grand
unification in the context of physical renormalization schemes and find a
number of qualitative differences and improvements in precision over
conventional approaches. The effective charge formalism presented here provides
a template for calculating all mass threshold effects for any given grand
unified theory. These new threshold corrections may be important in making the
measured values of the gauge couplings consistent with unification.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 03:40:35 GMT""},{""version"":""v2"",""created"":""Tue, 9 Mar 2004 00:02:54 GMT""}]","2009-09-11"
"hep-ph/0310323","Hans Pirner","Hans J. Pirner","Geometrical Scaling due to Critical Behavior Near the Light Cone","5 pages, Contribution to Light Cone Physics LC03 in Durham","Acta Phys.Polon. B35 (2004) 265-272",,,"hep-ph",,"  At low $x$ a transition from a dilute parton gas to a dense parton liquid
takes place. We derive geometrical scaling for the structure function in deep
inelastic scattering at low $x$ from a diverging correlation length $\xi(x)$ of
Wilson lines near the light cone. QCD (SU(3)) in 2+1 space - time dimensions
near the light cone becomes a critical theory in the limit of $x \to 0$ with a
diverging correlation length $\xi(x) \propto x^{-\frac{1}{2 \lambda_2}}$ where
the exponent $\lambda_2=2.52$ is obtained from the center group Z(3) of SU(3).
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 09:25:06 GMT""}]","2007-05-23"
"hep-ph/0310324","Michael Beyer","M. Beyer (U Rostock)","Light front field theory of quark matter at finite temperature","invited talk, prepared for ""Bled Workshops in Physics"" Proceedings of
  Miniworkshop ""Effective quark quark interaction"", eds. B. Golli, M. Rosina,
  S.Sirca (8 pages, 6 figures)",,,,"hep-ph",,"  A light front field theory for finite temperature and density is currently
being developed. It will be used here to describe the transition region from
quark matter to nuclear matter relevant in heavy ion collisions and in the
early universe. The energy regime addressed is extremely challenging, both
theoretically and experimentally. This is because of the confinement of quarks,
the appearance of bound states and correlations, special relativity, and
nonlinear phenomena that lead to a change of the vacuum structure of quantum
chromodynamics. In the region of the phase transition it eventually leads to a
change of the relevant degrees of freedom. We aim at describing this transition
from quarks to hadronic degrees of freedom in a unified microscopic approach.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 10:02:56 GMT""}]","2007-05-23"
"hep-ph/0310325","Ivanov Dmitri","D.Yu. Ivanov, G.L. Kotkin and V.G. Serbo","Complete description of polarization effects in the nonlinear Compton
  scattering. I. Circularly polarized laser photons","14 pages, latex",,,,"hep-ph",,"  We consider emission of a photon by an electron in the field of a strong
laser wave. Polarization effects in this process are important for a number of
physical problems. We discuss a probability of this process for circularly
polarized laser photons and for arbitrary polarization of all other particles.
We obtain the complete set of functions which describe such a probability in a
compact covariant form. Besides, we discuss an application of the obtained
formulas to the problem of electron -> photon conversion at photon-photon and
photon-electron colliders.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 10:50:42 GMT""}]","2007-05-23"
"hep-ph/0310326","Wan-lei Guo","Wan-lei Guo and Zhi-zhong Xing","Calculable CP-violating Phases in the Minimal Seesaw Model of
  Leptogenesis and Neutrino Mixing","RevTex 13 pages (3 PS figures included). A new figure and references
  added","Phys.Lett. B583 (2004) 163-172","10.1016/j.physletb.2003.12.043",,"hep-ph",,"  We show that all nontrivial CP-violating phases can be determined in terms of
three lepton flavor mixing angles and the ratio of $\Delta m^2_{\rm sun}$ to
$\Delta m^2_{\rm atm}$ in the minimal seesaw model in which the
Frampton-Glashow-Yanagida (FGY) ansatz is incorporated. This important point
allows us to make very specific predictions for the cosmological baryon number
asymmetry and CP violation in neutrino oscillations. A measurement of the
smallest neutrino mixing angle will sensitively test the FGY ansatz, in
particular in the case that three light neutrinos have a normal mass hierarchy.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 10:55:11 GMT""},{""version"":""v2"",""created"":""Sat, 22 Nov 2003 03:00:44 GMT""},{""version"":""v3"",""created"":""Wed, 10 Dec 2003 13:53:14 GMT""}]","2009-11-10"
"hep-ph/0310327","Peter Kroll","P. Kroll (Universitaet Wuppertal)","The handbag mechanism in wide-angle exclusive reactions","12 pages, 10 figures (using LATEX with ws-procs9x6.cls) invited talk
  presented at NAPP2003, Dubrownik, May, 2003","Fizika B13 (2004) 153-162",,,"hep-ph",,"  The handbag mechanism for wide-angle exclusive scattering reactions is
discussed and compared with other theoretical approaches. Its application to
Compton scattering, meson photoproduction and two-photon annihilations into
pairs of hadrons is reviewed in some detail.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 12:04:16 GMT""}]","2007-05-23"
"hep-ph/0310328","Hans-Christian Pauli","Hans-Christian Pauli (MPI Kernphysik)","First successful renormalization of a QCD-inspired Hamiltonian","LaTeX2e, 10 pages, 5 figures, 24 references. Invited talk at LC03 at
  IPPP Durham, 5--9 August 2003",,,,"hep-ph",,"  The long standing problem of non perturbative renormalization of a gauge
field theoretical Hamiltonian is addressed and explicitly carried out within an
(effective) light-cone Hamiltonian approach to QCD. The procedure is in line
with the conventional ideas: The Hamiltonian is first regulated by suitable
cut-off functions, and subsequently renormalized by suitable counter terms to
make it cut-off independent. The formalism is applied to physical mesons with a
different flavor of quark and anti-quark. The excitation spectrum of the
$\rho$-meson with its excellent agreement between theory and experiment is
discussed as a pedagogical example.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 13:47:58 GMT""}]","2007-05-23"
"hep-ph/0310329","Hartmut Wittig","Hartmut Wittig","Status of lattice calculations of B-meson decays and mixing","Invited talk at Int. Europhysics Conf. on High Energy Physics,
  EPS-HEP2003, 17-23 July 2003, Aachen, Germany. 5 pages LaTeX, 4 figures, uses
  svjour.cls","Eur.Phys.J.C33:s890-s894,2004","10.1140/epjcd/s2003-03-1005-y","DESY 02-174","hep-ph hep-lat",,"  The present status of lattice calculations of f_B, B_B and SU(3) flavour
breaking ratios such as f_Bs/f_B is reviewed. Particular attention is devoted
to systematic uncertainties, such as those arising from the lack of simulation
data for dynamical quarks with realistic masses, and the related difficulties
associated with chiral extrapolations. Global averages for decay constants and
mixing parameters are presented (Table 1), and the procedures to obtain them
are discussed in detail.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 13:48:22 GMT""}]","2011-09-13"
"hep-ph/0310330","Shan-Gui Zhou","Shan-Gui Zhou and Hans-Christian Pauli","Ds(2317): a P state from the light cone harmonic oscillator model?","2 pages, no figures, RevTeX4; in the same state as it was finished on
  May 9, 2003 except for updates of Refs. [1,7]",,,,"hep-ph",,"  We show that the mass of the recently found meson, Ds(2317) could be
reproduced by an effective light cone Hamiltonian model with a harmonic
oscillator potential as confinement -- the light cone harmonic oscillator
model.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 14:32:18 GMT""},{""version"":""v2"",""created"":""Fri, 31 Oct 2003 11:46:18 GMT""}]","2007-05-23"
"hep-ph/0310331","Manuel Drees","Manuel Drees (TU Munich)","The Top--Down Interpretation of Ultra--High Energy Cosmic Rays","LaTeX, 6 pages; invited talk at VHEPA-3, ICRR, Tokyo, March 2003","J.Phys.Soc.Jap.Suppl.77B:16-18,2008",,"TUM-HEP-533/03","hep-ph astro-ph",,"  The origin of Ultra--High Energy ($E \gsim 10^{20}$ eV) Cosmic Rays (UHECR)
remains mysterious. I discuss ``top--down'' models, where UHECR originate from
the decay of very massive, long--lived particles. I summarize the calculation
of the spectrum of decay products, discuss possible problems with this
scenario, and describe ways to test it by searching for very energetic
neutrinos and neutralinos.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 14:39:32 GMT""}]","2014-11-17"
"hep-ph/0310332","Ettore Remiddi","E. Remiddi","Differential Equations for the 2-Loop Equal Mass Sunrise","appolb.cls, 10 pages, 1 figure","Acta Phys.Polon. B34 (2003) 5311-5322",,"TTP-0326","hep-ph",,"  The differential equations for the 2-loop sunrise graph, at equal masses but
arbitrary momentum transfer, are used for the analytic evaluation of the
coefficients of its Laurent-expansion in the continuous dimension $d$.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 15:07:30 GMT""}]","2007-05-23"
"hep-ph/0310333","Roberto Bonciani","R. Bonciani, A. Ferroglia, P. Mastrolia, E. Remiddi, and J. J. van der
  Bij","Planar box diagram for the (N_F = 1) 2-loop QED virtual corrections to
  Bhabha scattering","Misprints in Eqs. (36), (38), (39), and (B.9) have been corrected.
  The results are now available at http://pheno.physik.uni-freiburg.de/~bhabha,
  as FORM input files","Nucl.Phys. B681 (2004) 261-291; Erratum-ibid. B702 (2004) 364-366","10.1016/j.nuclphysb.2004.01.026",,"hep-ph",,"  In this paper we present the master integrals necessary for the analytic
calculation of the box diagrams with one electron loop (N_{F}=1) entering in
the 2-loop (\alpha^3) QED virtual corrections to the Bhabha scattering
amplitude of the electron. We consider on-shell electrons and positrons of
finite mass m, arbitrary squared c.m. energy s, and momentum transfer t; both
UV and soft IR divergences are regulated within the continuous D-dimensional
regularization scheme. After a brief overview of the method employed in the
calculation, we give the results, for s and t in the Euclidean region, in terms
of 1- and 2-dimensional harmonic polylogarithms, of maximum weight 3. The
corresponding results in the physical region can be recovered by analytical
continuation. For completeness, we also provide the analytic expression of the
1-loop scalar box diagram including the first order in (D-4).
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 15:13:01 GMT""},{""version"":""v2"",""created"":""Sat, 24 Jan 2004 15:05:45 GMT""},{""version"":""v3"",""created"":""Fri, 25 Jun 2004 14:55:38 GMT""}]","2009-11-10"
"hep-th/0310252","Niklas Beisert","Niklas Beisert","The su(2|3) Dynamic Spin Chain","34 pages, 5 figures, v2: additional coefficient at three loops
  explained, discussion of integrability enhanced, figures added","Nucl.Phys.B682:487-520,2004","10.1016/j.nuclphysb.2003.12.032","AEI 2003-087","hep-th",,"  The complete one-loop, planar dilatation operator of the N=4 superconformal
gauge theory was recently derived and shown to be integrable. Here, we present
further compelling evidence for a generalisation of this integrable structure
to higher orders of the coupling constant. For that we consider the su(2|3)
subsector and investigate the restrictions imposed on the spin chain
Hamiltonian by the symmetry algebra. This allows us to uniquely fix the energy
shifts up to the three-loop level and thus prove the correctness of a
conjecture in hep-th/0303060. A novel aspect of this spin chain model is that
the higher-loop Hamiltonian, as for N=4 SYM in general, does not preserve the
number of spin sites. Yet this dynamic spin chain appears to be integrable.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 20:34:38 GMT""},{""version"":""v2"",""created"":""Tue, 9 Dec 2003 13:44:01 GMT""}]","2011-03-23"
"hep-th/0310258","Anatoly Konechny","Anatoly Konechny","g-function in perturbation theory","1+14 pages, Latex; v.2: typos corrected; v.3: minor corrections, to
  appear in IJMP","Int.J.Mod.Phys. A19 (2004) 2545-2560","10.1142/S0217751X04019469",,"hep-th",,"  We present some explicit computations checking a particular form of gradient
formula for a boundary beta function in two-dimensional quantum field theory on
a disc. The form of the potential function and metric that we consider were
introduced in hep-th/9210065, hep-th/9311177 in the context of background
independent open string field theory. We check the gradient formula to the
third order in perturbation theory around a fixed point. Special consideration
is given to situations when resonant terms are present exhibiting logarithmic
divergences and universal nonlinearities in beta functions. The gradient
formula is found to work to the given order.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 20:32:19 GMT""},{""version"":""v2"",""created"":""Thu, 13 Nov 2003 14:09:04 GMT""},{""version"":""v3"",""created"":""Wed, 24 Dec 2003 13:18:54 GMT""}]","2009-11-10"
"hep-th/0310259","Troels Harmark","Troels Harmark","Small Black Holes on Cylinders","23 pages, 1 figure. v2: typos corrected, introduction expanded, v3:
  presentation of sections 2 and 3 reordered and improved, explanatory remarks
  added, refs added","Phys.Rev. D69 (2004) 104015","10.1103/PhysRevD.69.104015",,"hep-th gr-qc",,"  We find the metric of small black holes on cylinders, i.e. neutral and static
black holes with a small mass in d-dimensional Minkowski-space times a circle.
The metric is found using an ansatz for black holes on cylinders proposed in
hep-th/0204047. We use the new metric to compute corrections to the
thermodynamics which is seen to deviate from that of the (d+1)-dimensional
Schwarzschild black hole. Moreover, we compute the leading correction to the
relative binding energy which is found to be non-zero. We discuss the
consequences of these results for the general understanding of black holes and
we connect the results to the phase structure of black holes and strings on
cylinders.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 18:02:36 GMT""},{""version"":""v2"",""created"":""Sun, 9 Nov 2003 13:26:49 GMT""},{""version"":""v3"",""created"":""Tue, 24 Feb 2004 09:59:41 GMT""}]","2009-11-10"
"hep-th/0310260","Andrei Zotov","A.Zotov","Elliptic Linear Problem for Calogero-Inozemtsev Model and Painleve VI
  Equation","LaTeX, 13 pages","Lett.Math.Phys. 67 (2004) 153-165","10.1023/B:MATH.0000032753.97756.94",,"hep-th",,"  We introduce $3N\times 3N$ Lax pair with spectral parameter for
Calogero-Inozemtsev model. The one degree of freedom case appears to have
$2\times 2$ Lax representation. We derive it from the elliptic Gaudin model via
some reduction procedure and prove algebraic integrability. This Lax pair
provides elliptic linear problem for the Painlev{\'e} VI equation in elliptic
form.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 19:23:01 GMT""}]","2009-11-10"
"hep-th/0310261","Lisa Freyhult","Lisa Freyhult","The Supersymmetric Extension of the Faddeev model","12 pages","Nucl.Phys.B681:65-76,2004","10.1016/j.nuclphysb.2004.01.012","UUITP-20/03","hep-th",,"  We study the supersymmetric extension of the Faddeev model in four
dimensions. The Faddeev model contains three dimensional soliton solutions and
we are interested in how these solitons are affected by supersymmetry. We
consider both the N=1 and N=2 extensions and find that in neither case it is
possible to supersymmetrize the model without adding additional bosonic terms.
There are essentially two ways of constructing the supersymmetric theory, one
that will lead to a model which allows for solitons and another that gives a
model where solitons are excluded.
  The N=2 model is studied since extending supersymmetry is the natural way of
including topological charges in the algebra. A lower bound to the mass is
obtained by computing the central charge. The result is that it is possible to
have a non-trivial lower bound on the mass, this in principle allows for
massive solitons.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 19:26:38 GMT""}]","2014-11-18"
"hep-th/0310262","Christopher Herzog","Christopher P. Herzog","Exceptional Collections and del Pezzo Gauge Theories","26 pages, 1 figure; v2 footnote 2 amended; v3 ref added","JHEP 0404 (2004) 069","10.1088/1126-6708/2004/04/069",,"hep-th",,"  Stacks of D3-branes placed at the tip of a cone over a del Pezzo surface
provide a way of geometrically engineering a small but rich class of
gauge/gravity dualities. We develop tools for understanding the resulting
quiver gauge theories using exceptional collections. We prove two important
results for a general quiver gauge theory: 1) we show the ordering of the nodes
can be determined up to cyclic permutation and 2) we derive a simple formula
for the ranks of the gauge groups (at the conformal point) in terms of the
numbers of bifundamentals. We also provide a detailed analysis of four node
quivers, examining when precisely mutations of the exceptional collection are
related to Seiberg duality.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 19:43:08 GMT""},{""version"":""v2"",""created"":""Fri, 31 Oct 2003 18:27:30 GMT""},{""version"":""v3"",""created"":""Mon, 16 Feb 2004 19:01:02 GMT""}]","2009-11-10"
"hep-th/0310263","N. E. J. Bjerrum-Bohr","N. E. J. Bjerrum-Bohr","Quantum gravity at a large number of dimensions","18 pages, 23 figures (75 files), format RevTex4, typos corrected,
  references added","Nucl.Phys. B684 (2004) 209-234","10.1016/j.nuclphysb.2004.02.012",,"hep-th gr-qc hep-ph",,"  We consider the large-$D$ limit of Einstein gravity. It is observed that a
consistent leading large-$D$ graph limit exists, and that it is built up by a
subclass of planar diagrams. The graphs in the effective field theory extension
of Einstein gravity are investigated in the same context, and it is seen that
an effective field theory extension of the basic Einstein-Hilbert theory will
not upset the latter leading large-$D$ graph limit, {\it i.e.}, the same
subclass of planar diagrams will dominate at large-$D$ in the effective field
theory. The effective field theory description of large-$D$ quantum gravity
limit will be renormalizable, and the resulting theory will thus be completely
well defined up to the Planck scale at $\sim 10^{19}$ GeV. The $(\frac1D)$
expansion in gravity is compared to the successful $(\frac1N)$ expansion in
gauge theory (the planar diagram limit), and dissimilarities and parallels of
the two expansions are discussed. We consider the expansion of the effective
field theory terms and we make some remarks on explicit calculations of
$n$-point functions.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 20:20:40 GMT""},{""version"":""v2"",""created"":""Tue, 4 Nov 2003 14:53:21 GMT""}]","2010-04-05"
"hep-th/0310266","Jose Antonio Santiago","Juan M. Romero and J.A. Santiago","Cosmological Constant and Noncommutativity: A Newtonian point of view","14 pages, 3 figures, Introduction was changed and references added.
  Final version accepted for publication in JMPLA","Mod.Phys.Lett.A20:781-790,2005","10.1142/S0217732305016373",,"hep-th",,"  We study a Newtonian cosmological model in the context of a noncommutative
space. It is shown that the trajectories of a test particle undergo
modifications such that it no longer satisfies the cosmological principle. For
the case of a positive cosmological constant, spiral trajectories are obtained
and corrections to the Hubble constant appear. It is also shown that, in the
limit of a strong noncommutative parameter, the model is closely related to a
particle in a G\""odel-type metric.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 01:22:23 GMT""},{""version"":""v2"",""created"":""Thu, 9 Dec 2004 02:19:13 GMT""}]","2010-11-05"
"math-ph/0310061","Jean-Marie Aubry","Jean-Marie Aubry and St\'ephane Jaffard","Random Wavelet Series: Theory and Applications","To appear in Annales Math\'ematiques Blaise Pascal",,,,"math-ph math.MP",,"  Random Wavelet Series form a class of random processes with multifractal
properties. We give three applications of this construction. First, we
synthesize a random function having any given spectrum of singularities
satisfying some conditions (but including non-concave spectra). Second, these
processes provide examples where the multifractal spectrum coincides with the
spectrum of large deviations, and we show how to recover it numerically.
Finally, particular cases of these processes satisfy a generalized
selfsimilarity relation proposed in the theory of fully developed turbulence.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 17:06:09 GMT""}]","2007-05-23"
"math-ph/0310062","Ctirad Klimcik","C. Klimcik","q-deformation of $z\to {az+b\over cz+d}$","LaTeX, 16 pages, we add a reference where an alternative construction
  of the q-Lorentz group action on the Podles sphere is given","J.Math.Phys. 45 (2004) 4352-4359","10.1063/1.1803610","IML 2003-12","math-ph hep-th math.MP math.QA",,"  We construct the action of the quantum double of $\uq$ on the standard
Podle\'s sphere and interpret it as the quantum projective formula generalizing
to the q-deformed setting the action of the Lorentz group of global conformal
transformations on the ordinary Riemann sphere.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 08:39:59 GMT""},{""version"":""v2"",""created"":""Tue, 28 Sep 2004 06:52:30 GMT""},{""version"":""v3"",""created"":""Thu, 30 Sep 2004 12:47:54 GMT""}]","2009-11-10"
