"astro-ph/0309800","Neal Weiner","Rob Fardon, Ann E. Nelson, and Neal Weiner (UW)","Dark Energy from Mass Varying Neutrinos","26 pages, 3 figures, refs added, typos corrected, comment added about
  possible matter effects","JCAP 0410:005,2004","10.1088/1475-7516/2004/10/005","UW/PT 03-22","astro-ph hep-ph hep-th",,"  We show that mass varying neutrinos (MaVaNs) can behave as a negative
pressure fluid which could be the origin of the cosmic acceleration. We derive
a model independent relation between the neutrino mass and the equation of
state parameter of the neutrino dark energy, which is applicable for general
theories of mass varying particles. The neutrino mass depends on the local
neutrino density and the observed neutrino mass can exceed the cosmological
bound on a constant neutrino mass. We discuss microscopic realizations of the
MaVaN acceleration scenario, which involve a sterile neutrino. We consider
naturalness constraints for mass varying particles, and find that both ev
cutoffs and ev mass particles are needed to avoid fine-tuning. These
considerations give a (current) mass of order an eV for the sterile neutrino in
microscopic realizations, which could be detectable at MiniBooNE. Because the
sterile neutrino was much heavier at earlier times, constraints from big bang
nucleosynthesis on additional states are not problematic. We consider regions
of high neutrino density and find that the most likely place today to find
neutrino masses which are significantly different from the neutrino masses in
our solar system is in a supernova. The possibility of different neutrino mass
in different regions of the galaxy and the local group could be significant for
Z-burst models of ultra-high energy cosmic rays. We also consider the cosmology
of and the constraints on the ``acceleron'', the scalar field which is
responsible for the varying neutrino mass, and briefly discuss neutrino density
dependent variations in other constants, such as the fine structure constant.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 19:40:39 GMT""},{""version"":""v2"",""created"":""Mon, 3 Nov 2003 20:25:51 GMT""}]","2009-11-10"
"hep-th/0310007","Lesgourgues","Julien Lesgourgues (CERN, LAPTH) and Lorenzo Sorbo (LAPTH)","Goldberger-Wise variations: stabilizing brane models with a bulk scalar","8 pages, 2 figures. 1 figure and one subsection added. version
  published on PRD","Phys.Rev. D69 (2004) 084010","10.1103/PhysRevD.69.084010","LAPTH-998/03, CERN-TH/2003-226","hep-th astro-ph gr-qc hep-ph",,"  Braneworld scenarios with compact extra-dimensions need the volume of the
extra space to be stabilized. Goldberger and Wise have introduced a simple
mechanism, based on the presence of a bulk scalar field, able to stabilize the
radius of the Randall-Sundrum model. Here, we transpose the same mechanism to
generic single-brane and two-brane models, with one extra dimension and
arbitrary scalar potentials in the bulk and on the branes. The single-brane
construction turns out to be always unstable, independently of the bulk and
brane potentials. In the case of two branes, we derive some generic criteria
ensuring the stabilization or destabilization of the system.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 14:52:47 GMT""},{""version"":""v2"",""created"":""Mon, 21 Jun 2004 20:07:47 GMT""}]","2009-11-10"
"hep-th/0310008","Roberto Emparan","Henriette Elvang and Roberto Emparan","Black Rings, Supertubes, and a Stringy Resolution of Black Hole
  Non-Uniqueness","33 pages, 1 figure","JHEP 0311:035,2003","10.1088/1126-6708/2003/11/035",,"hep-th gr-qc",,"  In order to address the issues raised by the recent discovery of
non-uniqueness of black holes in five dimensions, we construct a solution of
string theory at low energies describing a five-dimensional spinning black ring
with three charges that can be interpreted as D1-brane, D5-brane, and momentum
charges. The solution possesses closed timelike curves (CTCs) and other
pathologies, whose origin we clarify. These pathologies can be avoided by
setting any one of the charges, e.g. the momentum, to zero. We argue that the
D1-D5-charged black ring, lifted to six dimensions, describes the thermal
excitation of a supersymmetric D1-D5 supertube, which is in the same U-duality
class as the D0-F1 supertube. We explain how the stringy microscopic
description of the D1-D5 system distinguishes between a spherical black hole
and a black ring with the same asymptotic charges, and therefore provides a
(partial) resolution of the non-uniqueness of black holes in five dimensions.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 14:42:14 GMT""}]","2010-02-03"
"hep-th/0310009","Ivan Avramidi","Ivan Avramidi","A Noncommutative Deformation of General Relativity","7 pages, to be published in Phys. Lett. B","Phys.Lett. B576 (2003) 195-198","10.1016/j.physletb.2003.10.002",,"hep-th",,"  We develop a novel approach to gravity in which gravity is described by a
matrix-valued symmetric two-tensor field and construct an invariant functional
that reduces to the standard Einstein-Hilbert action in the commutative limit.
We also introduce a gauge symmetry associated with the new degrees of freedom.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 15:27:25 GMT""}]","2007-05-23"
"math-ph/0309064","Filippo Colomo","Filippo Colomo, Andrei Pronko","On the partition function of the six-vertex model with domain wall
  boundary conditions","typos corrected","J.Phys.A37:1987-2002,2004","10.1088/0305-4470/37/6/003",,"math-ph hep-th math.MP",,"  The six-vertex model on an $N\times N$ square lattice with domain wall
boundary conditions is considered. A Fredholm determinant representation for
the partition function of the model is given. The kernel of the corresponding
integral operator is of the so-called integrable type, and involves classical
orthogonal polynomials. From this representation, a ``reconstruction'' formula
is proposed, which expresses the partition function as the trace of a suitably
chosen quantum operator, in the spirit of corner transfer matrix and vertex
operator approaches to integrable spin models.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 17:25:43 GMT""},{""version"":""v2"",""created"":""Mon, 23 Feb 2004 17:34:39 GMT""}]","2008-11-26"
"math-ph/0309065","Michael Loss","J. Dolbeault, M.J. Esteban, M.Loss, L. Vega","An analytical proof of Hardy-like inequalities related to the Dirac
  operator","LaTex, 22 pages",,,,"math-ph math.MP",,"  We prove some sharp Hardy type inequalities related to the Dirac operator by
elementary, direct methods. Some of these inequalities have been obtained
previously using spectral information about the Dirac-Coulomb operator. Our
results are stated under optimal conditions on the asymptotics of the
potentials near zero and near infinity.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 18:17:55 GMT""}]","2007-05-23"
"math-ph/0309066","Richard L. Hall","Hakan Ciftci, Richard L. Hall, Nasser Saad","Asymptotic iteration method for eigenvalue problems","14 pages","J. Phys. A 36, 11807-11816 (2003)","10.1088/0305-4470/36/47/008","CUQM-99","math-ph math.MP",,"  An asymptotic interation method for solving second-order homogeneous linear
differential equations of the form y'' = lambda(x) y' + s(x) y is introduced,
where lambda(x) \neq 0 and s(x) are C-infinity functions. Applications to
Schroedinger type problems, including some with highly singular potentials, are
presented.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 18:34:24 GMT""}]","2009-11-10"
"math-ph/0309067","Richard L. Hall","Nasser Saad, Richard L. Hall, and Attila B. von Keviczky","Perturbation expansions for a class of singular potentials","23 pages","J. Math. Phys. 44, 5021-5041 (2003)","10.1063/1.1616996","CUQM-100","math-ph math.MP",,"  Harrell's modified perturbation theory [Ann. Phys. 105, 379-406 (1977)] is
applied and extended to obtain non-power perturbation expansions for a class of
singular Hamiltonians H = -D^2 + x^2 + A/x^2 + lambda/x^alpha, (A\geq 0, alpha
> 2), known as generalized spiked harmonic oscillators. The perturbation
expansions developed here are valid for small values of the coupling lambda >
0, and they extend the results which Harrell obtained for the spiked harmonic
oscillator A = 0. Formulas for the the excited-states are also developed.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 19:28:54 GMT""}]","2015-06-26"
"math-ph/0310001","Biskup Marek","Marek Biskup, Lincoln Chayes and Steven A. Kivelson","Order by disorder, without order, in a two-dimensional spin system with
  O(2) symmetry","22 pages, 1 eps fig","Ann. Henri Poincar\'e 5 (2004), no. 6, 1181-1205","10.1007/s00023-004-0196-2",,"math-ph cond-mat.stat-mech math.MP math.PR",,"  We present a rigorous proof of an ordering transition for a two-component
two-dimensional antiferromagnet with nearest and next-nearest neighbor
interactions. The low-temperature phase contains two states distinguished by
local order among columns or, respectively, rows. Overall, there is no magnetic
order in accord with the classic Mermin-Wagner theorem. The method of proof
employs a rigorous version of ""order by disorder,"" whereby a high degeneracy
among the ground states is lifted according to the differences in their
associated spin-wave spectra.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 01:11:31 GMT""},{""version"":""v2"",""created"":""Mon, 9 Feb 2004 05:54:55 GMT""},{""version"":""v3"",""created"":""Fri, 7 May 2004 03:05:58 GMT""}]","2007-05-23"
"math/0309467","Joao Paulo Neves Monteiro Dos Santos","Joao P Santos (MIT and Instituo Superior Tecnico, Portugal)","Dirac operator coupled to instantons on positive definite 4 manifolds","15 pages",,,,"math.AT",,"  We study the moduli space of instantons on a simply connected positive
definite four manifold by analyzing the classifying map of the index bundle of
a family of Dirac operators parametrized by the moduli space. As applications
we compute the cohomology ring for the charge 2 moduli space in the rank stable
limit.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 18:02:35 GMT""}]","2007-05-23"
"math/0309478","Stephen D. Miller","Stephen S. Gelbart and Stephen D. Miller","Riemann's Zeta Function and Beyond","Survey, 63 pages, to appear in the Bulletin of the A.M.S., 2004",,,,"math.NT math.CV",,"  In recent years L-functions and their analytic properties have assumed a
central role in number theory and automorphic forms. In this expository
article, we describe the two major methods for proving the analytic
continuation and functional equations of $L$-functions: the method of integral
representations, and the method of Fourier expansions of Eisenstein series.
Special attention is paid to technical properties, such as boundedness in
vertical strips; these are essential in applying the converse theorem, a
powerful tool that uses analytic properties of L-functions to establish cases
of Langlands functoriality conjectures. We conclude by describing striking
recent results which rest upon the analytic properties of L-functions.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 18:18:23 GMT""}]","2007-05-23"
"math/0310001","Michael Kapovich","Michael Kapovich","Representations of polygons of finite groups","Published by Geometry and Topology at
  http://www.maths.warwick.ac.uk/gt/GTVol9/paper43.abs.html","Geom. Topol. 9 (2005) 1915-1951","10.2140/gt.2005.9.1915",,"math.GR math.GT",,"  We construct discrete and faithful representations into the isometry group of
a hyperbolic space of the fundamental groups of acute negatively curved
even-sided polygons of finite groups.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 20:44:01 GMT""},{""version"":""v2"",""created"":""Thu, 20 Oct 2005 17:01:54 GMT""}]","2014-11-11"
"math/0310002","Jeffrey Diller","Eric Bedford, Jeffrey Diller","Energy and Invariant Measures for Birational Surface Maps","21 pages",,,,"math.CV math.DS",,"  When a birational surface map is expanding on cohomology there is a canonical
way to associate positive closed currents to the map and its inverse. In this
paper we use a version of Dirichlet energy to construct the wedge product of
these two currents under a very weak additional condition on the map. We show
that the resulting measure is invariant and mixing, and we establish that its
Lyapunov exponents are finite and non-zero.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 22:20:38 GMT""}]","2007-05-23"
"math/0310003","Alicia Dickenstein","Alicia Dickenstein, Laura Matusevich, and Timur Sadykov","Bivariate hypergeometric D-modules","Several changes in proofs and statements",,,,"math.AG",,"  We undertake the study of bivariate Horn systems for generic parameters. We
prove that these hypergeometric systems are holonomic, and we provide an
explicit formula for their holonomic rank as well as bases of their spaces of
complex holomorphic solutions.
  We also obtain analogous results for the generalized hypergeometric systems
arising from lattices of any rank.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 22:53:40 GMT""},{""version"":""v2"",""created"":""Mon, 23 Aug 2004 16:41:09 GMT""}]","2007-05-23"
"math/0310004","Michael Miller","Michael Miller","A quadratic approximation to the Sendov radius near the unit circle","22 pages, AMS-LaTeX, no figures","Trans. Amer. Math. Soc. 357 (2005), 851-873",,,"math.CV",,"  Define $S(n,\beta)$ to be the set of complex polynomials of degree $n \ge 2$
with all roots in the unit disk and at least one root at $\beta$. For a
polynomial $P$, define $|P|_\beta$ to be the distance between $\beta$ and the
closest root of the derivative $P'$. Finally, define $r_n(\beta)=\sup
\{|P|_\beta : P \in S(n,\beta) \}$. In this notation, a conjecture of Bl.
Sendov claims that $r_n(\beta) \le 1$.
  In this paper we investigate Sendov's conjecture near the unit circle, by
computing constants $C_1$ and $C_2$ (depending only on $n$) such that
$r_n(\beta) \sim 1 + C_1 (1-|\beta|) + C_2 (1-|\beta|)^2$ for $|\beta|$ near 1.
We also consider some consequences of this approximation.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 01:35:08 GMT""}]","2007-05-23"
"math/0310005","Melvyn B. Nathanson","Alexander Borisov, Yang Wang, and Melvyn B. Nathanson","Quantum integers and cyclotomy","11 pages; LaTex","Journal of Number Theory 109 (2004), 120--135",,,"math.NT math.QA",,"  A sequence of functions {f_n(q)}_{n=1}^{\infty} satisfies the functional
equation for multiplication of quantum integers if f_{mn}(q) = f_m(q)f_n(q^m)
for all positive integers m and n. This paper describes the structure of all
sequences of rational functions with rational coefficients that satisfy this
functional equation.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 02:57:57 GMT""}]","2016-12-30"
"math/0310006","Timothy Wallstrom","Timothy C. Wallstrom","The marginalization paradox does not imply inconsistency for improper
  priors","5 pages. Minor change to discussion section. Comments welcome",,,"LAUR 03-3356","math.ST stat.TH",,"  The marginalization paradox involves a disagreement between two Bayesians who
use two different procedures for calculating a posterior in the presence of an
improper prior. We show that the argument used to justify the procedure of one
of the Bayesians is inapplicable. There is therefore no reason to expect
agreement, no paradox, and no evidence that improper priors are inherently
inconsistent. We show further that the procedure in question can be interpreted
as the cancellation of infinities in the formal posterior. We suggest that the
implicit use of this formal procedure is the source of the observed
disagreement.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 15:17:06 GMT""},{""version"":""v2"",""created"":""Wed, 8 Oct 2003 19:45:40 GMT""},{""version"":""v3"",""created"":""Thu, 9 Oct 2003 23:14:00 GMT""}]","2007-06-13"
"math/0310007","Hao Fang","Hao Fang (NYU) and Zhiqin Lu (UC Irvine)","Generalized Hodge Metrics and BCOV torsion on Calabi-Yau Moduli","Latex file; 20 pages, 0 figure","Journal fur die reine und angewandte Mathematik, vol 588 (2005),
  pp 49-69",,,"math.DG math.AG",,"  We establish an unexpected relation among the Weil-Petersson metric, the
generalized Hodge metrics and the BCOV torsion. Using this relation, we prove
that certain kind of moduli spaces of polarized Calabi-Yau manifolds do not
admit complete subvarieties. That is, there is no complete family for certain
class of polarized Calabi-Yau manifolds. We also give an estimate of the
complex Hessian of the BCOV torsion using the relation. After establishing a
degenerate version of the Schwarz Lemma of Yau, we prove that the complex
Hessian of the BCOV torsion is bounded by the Poincar\'e metric.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 05:22:01 GMT""}]","2007-05-23"
"math/0310008","Alexander Kuznetsov","Alexander Kuznetsov","Derived category of V_{12} Fano threefolds","11 pages",,,,"math.AG",,"  A V_{12} Fano threefold is a smooth Fano threefold X of index 1 with Pic X =
Z and (-K_X)^3=12. We show that the bounded derived category of coherent
sheaves on any V_{12} threefold X admits a semiorthogonal decomposition
consisting of two exceptional bundles and of the derived category of a curve of
genus 7. As an application we show that the Fano surface of X (the surface
parameterizing conics on X) is canonically isomorphic to the symmetric square
of the associated genus 7 curve.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 05:59:40 GMT""}]","2007-05-23"
"math/0310009","Flaminio Flamini","Alberto Calabri, Ciro Ciliberto, Flaminio Flamini, Rick Miranda","On degenerations of surfaces","85 pages, 37 figures, one appendix. Latex2e. This paper replaces the
  previous version of 2003",,,,"math.AG",,"  This paper surveys and gives a uniform exposition of results contained in
papers published by the team of authors.
  The subject is degenerations of surfaces, especially to unions of planes.
More specifically, we deduce some properties of the smooth surface which is the
general fibre of the degeneration from combinatorial features of the central
fibre. In particular we show that there are strong constraints on the
invariants of a smooth surface which degenerates to configurations of planes.
  Finally we consider several examples of embedded degenerations of smooth
surfaces to unions of planes.
  Our interest in these problems has been raised by a series of interesting
articles by Guido Zappa in 1950's.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 09:42:09 GMT""},{""version"":""v2"",""created"":""Fri, 9 May 2008 08:50:10 GMT""}]","2008-05-09"
"math/0310010","Leonid Danilov","L. I. Danilov","On Equi-Weyl Almost Periodic Selections of Multivalued Maps","23 pages, LaTeX2e; some results and references added",,,,"math.CA math.FA",,"  We prove that equi-Weyl almost periodic multivalued maps $R \ni t \to F(t)\in
cl U$ have equi-Weyl almost periodic selections, where $cl U$ is the collection
of non-empty closed sets of a complete metric space $U$.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 10:30:47 GMT""},{""version"":""v2"",""created"":""Fri, 24 Dec 2004 08:26:33 GMT""},{""version"":""v3"",""created"":""Mon, 14 Mar 2005 13:01:32 GMT""}]","2007-05-23"
"math/0310011","Di\'e Gijsbers","A. M. Cohen, D. A. H. Gijsbers, D. B. Wales","BMW algebras of simply laced type","39 pages",,,,"math.RA math.GR math.RT",,"  It is known that the recently discovered representations of the Artin groups
of type A_n, the braid groups, can be constructed via BMW algebras. We
introduce similar algebras of type D_n and E_n which also lead to the newly
found faithful representations of the Artin groups of the corresponding types.
We establish finite dimensionality of these algebras. Moreover, they have
ideals I_1 and I_2 with I_2 contained in I_1 such that the quotient with
respect to I_1 is the Hecke algebra and I_1/I_2 is a module for the
corresponding Artin group generalizing the Lawrence-Krammer representation.
Finally we give conjectures on the structure, the dimension and parabolic
subalgebras of the BMW algebra, as well as on a generalization of deformations
to Brauer algebras for simply laced spherical type other than A_n.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 11:39:20 GMT""}]","2007-05-23"
"math/0310012","Lancelot F. James","Lancelot F. James","Functionals of Dirichlet processes, the Markov Krein Identity and
  Beta-Gamma processes",,,,,"math.PR",,"  This paper describes how one can use the well-known Bayesian prior to
posterior analysis of the Dirichlet process, and less known results for the
gamma process, to address the formidable problem of assessing the distribution
of linear functionals of Dirichlet processes. In particular, in conjunction
with a gamma identity, we show easily that a generalized Cauchy-Stieltjes
transform of a linear functional of a Dirichlet process is equivalent to the
Laplace functional of a class of, what we define as, beta-gamma processes. This
represents a generalization of the Markov-Krein identity for mean functionals
of Dirichlet processes. A prior to posterior analysis of beta-gamma processes
is given that not only leads to an easy derivation of the Markov-Krein
identity, but additionally yields new distributional identities for gamma and
beta-gamma processes. These results give new explanations and intepretations of
exisiting results in the literature. This is punctuated by establishing a
simple distributional relationship between beta-gamma and Dirichlet processes.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 14:30:29 GMT""}]","2007-05-23"
"nlin/0310001","Fredrik Liljeros","Fredrik Liljeros, Luis A Nunes Amaral, H. Eugene Stanley","Universal Mechanisms in the Growth of Voluntary Organizations",,,,,"nlin.AO cond-mat.dis-nn",,"  We analyze the growth statistics of Swedish trade unions and find a universal
functional form for the probability distribution of growth rates of union size,
and a power law dependence of the standard deviation of this distribution on
the number of members of the union. We also find that the typical size and the
typical number of local chapters scales as a power law of the union size.
Intriguingly, our results are similar to results reported for other human
organizations of a quite different nature. Our findings are consistent with the
possibility that universal mechanisms may exist governing the growth patterns
of human organizations.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 10:39:19 GMT""}]","2007-05-23"
"nucl-ex/0310001","Takeyasu Ito","SAMPLE collaboration: T. M. Ito, et al","Parity-violating Electron Deuteron Scattering and the Proton's Neutral
  Weak Axial Vector Form Factor","4 pages, 2 figures, submitted to Phys. Rev. Lett","Phys.Rev.Lett.92:102003,2004","10.1103/PhysRevLett.92.102003",,"nucl-ex",,"  We report on a new measurement of the parity-violating asymmetry in
quasielastic electron scattering from the deuteron at backward angles at Q2=
0.038 (GeV/c)2. This quantity provides a determination of the neutral weak
axial vector form factor of the nucleon, which can potentially receive large
electroweak corrections. The measured asymmetry A=-3.51 +/- 0.57(stat) +/-
0.58(sys)ppm is consistent with theoretical predictions. We also report on
updated results of the previous experiment at Q2=0.091 (GeV/c)2, which are also
consistent with theoretical predictions.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 01:54:11 GMT""},{""version"":""v2"",""created"":""Fri, 17 Oct 2003 23:44:34 GMT""}]","2014-11-18"
"nucl-th/0309086","Massimiliano Alvioli","M. Alvioli (1), C. Ciofi degli Atti (1) and H. Morita (2) ((1)
  University of Perugia & INFN, Perugia, Italy (2) Sapporo Gakuin University,
  Hokkaido, Japan)","Realistic calculations of correlations and final state interaction
  effects in the A(e,e'p)X process off complex nuclei","8 pages, Latex, 8 figures, presented at the ""2nd International
  Conference on Nuclear and Particle Physics with CEBAF at JLab""","Fizika B13 (2004) 585-592",,,"nucl-th",,"  A linked cluster expansion for the calculation of ground state observables of
complex nuclei with realistic interactions has been used to calculate the
ground state energy, density and momentum distribution of 16O and 40Ca. Using
the same cluster expansion and the wave function and correlation parameters
obtained from the energy calculation, we have evaluated the semi inclusive
reaction A(e,e'p)X taking final state interaction (FSI) into account by a
Glauber type approach; the comparison between the distorted and undistorted
momentum distributions provides an estimate of the transparency of the nuclear
medium to the propagation of the hit proton. The effect of color transparency
is also included by considering the Finite Formation Time (FFT) that the hit
hadron needs to reach its asymptotic physical state.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 16:22:48 GMT""}]","2007-05-23"
"nucl-th/0310001","Eizo Uzu","E. Uzu, H. Kamada, and Y. Koike","Complex Energy Method in 4-Body Faddeev-Yakubovsky Equations","4 pages (ReVTeX), 4 figures, Phys. Rev. C, in printing","Phys.Rev. C68 (2003) 061001","10.1103/PhysRevC.68.061001",,"nucl-th",,"  The Complex Energy Method [Prog. Theor. Phys. {\bf 109}, 869L (2003)] is
applied to the 4-body Faddeev-Yakubovsky equations in the 4-nucleon system. We
obtain a well converged solution in all energy regions below and above the
4-nucleon break-up threshold.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 05:29:46 GMT""},{""version"":""v2"",""created"":""Fri, 17 Oct 2003 10:28:48 GMT""},{""version"":""v3"",""created"":""Wed, 3 Dec 2003 07:28:03 GMT""}]","2009-11-10"
"nucl-th/0310002","Eli Friedman","E. Friedman (Hebrew U.)","Medium Effects of Low Energy Pions","12 pages, 3 figures, 1 table. To appear in Acta Physica Polonica B,
  proceedings of XXVIII Mazurian Lakes Conference on Physics","Acta Phys.Polon. B35 (2004) 979-990",,,"nucl-th",,"  Fits of pion-nucleus potentials to large sets of pionic atom data reveal
departures of parameter values from the corresponding free $\pi N$ parameters.
These medium effects can be quantitatively reproduced by a chiral-motivated
model where the pion decay constant is modified in the medium or by including
the empirical on-shell energy dependence of the amplitudes. No consistency is
obtained between pionic atoms and the free $\pi N$ interaction when an extreme
off-shell chiral model is used. The role of the size of data sets is briefly
discussed.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 05:22:37 GMT""}]","2007-05-23"
"nucl-th/0310003","Omar Benhar","O. Benhar, S. Fantoni, G.I. Lykasov, U. Sukhatme and V.V. Uzhinsky","Hadron Multiplicity in Semi-Inclusive Lepton-Nucleon and Lepton-Nucleus
  Scattering","Talk delivered a the Fourth International Conference on Perspectives
  in Hadronic Physics (ICTP, Trieste, Italy, May 2003). To be published in the
  Proceedings (EPJA)","Eur.Phys.J. A19 (2004) 147-151","10.1140/epjad/s2004-03-024-x",,"nucl-th",,"  We discuss multi-hadron production in both inelastic neutrino-nucleon
interactions in the current fragmentation region and neutrino-nucleus
collisions in the target fragmentation region. Our analysis, carried out within
the framework of the quark-gluon string model, is mainly focused on the
difference between these two processes. We show that the $Q^2$ dependence of
hadron multiplicity in the current and target fragmentation regions is indeed
completely different. The study of inelastic $\nu-A$ scattering in the target
fragmentation region also provides new information on nuclear structure at
small $N-N$ distances. The results of the proposed approach are in satisfactory
agreement with the data recently obtained at CERN by the NOMAD Collaboration.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 14:21:49 GMT""}]","2015-06-26"
"nucl-th/0310004","Thomas Buervenich","T. J. Buervenich and D. G. Madland","A nucleonic NJL model for finite nuclei: dynamic mass generation and
  ground-state observables","19 pages, 3 eps figures, accepted for publication in Nucl. Phys. A","Nucl.Phys. A729 (2003) 769-783","10.1016/j.nuclphysa.2003.10.002","LA-UR-03-2990","nucl-th",,"  We test the compatibility of chiral symmetry, dynamic mass generation of the
nucleon due to spontaneous breaking of chiral symmetry, and the description of
finite nuclear systems by employing an NJL model understood as a chiral
invariant effective theory for nucleons. We apply the model to nuclear matter
as well as to finite nuclei. In the latter case, the model is adjusted to
nuclear ground-state observables. We treat the case of a pure chiral theory and
the physically more realistic case where a portion of the nucleon mass (160
MeV) explicitly breaks chiral symmetry. The best version of this current model
is found to deliver reasonably good results simultaneously for both finite
nuclei and the nucleon mass, which supports our motivation of probing a link
between low-momentum QCD and the nuclear many-body problem. However, the
observables calculated for finite nuclei are not as good as those coming from
existing relativistic mean field models without explicit chiral symmetry.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 14:24:16 GMT""},{""version"":""v2"",""created"":""Wed, 1 Oct 2003 20:34:00 GMT""}]","2015-06-26"
"physics/0309125","M\'aty\'as Mechler","S. V. Kukhlevsky, M. Mechler, L. Csapo","Near-field diffraction of fs and sub-fs pulses: super-resolutions of
  NSOM in space and time","5 figures",,"10.1016/j.physleta.2003.10.054",,"physics.optics",,"  The near-field diffraction of fs and sub-fs light pulses by nm-size slit-type
apertures and its implication for near-field scanning optical microscopy (NSOM)
is analyzed. The amplitude distributions of the diffracted wave-packets having
the central wavelengths in the visible spectral region are found by using the
Neerhoff and Mur coupled integral equations, which are solved numerically for
each Fourier's component of the wave-packet. In the case of fs pulses, the
duration and transverse dimensions of the diffracted pulse remain practically
the same as that of the input pulse. This demonstrates feasibility of the NSOM
in which a fs pulse is used to provide the fs temporal resolution together with
nm-scale spatial resolution. In the sub-fs domain, the Fourier spectrum of the
transmitted pulse experiences a considerable narrowing that leads to the
increase of the pulse duration in a few times. This imposes a limit on the
simultaneous resolutions in time and space.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 16:41:10 GMT""}]","2013-10-11"
"physics/0309126","Miroslav Jezek","M. Jezek, Z. Hradil","Image processing as state reconstruction in optics","10 pages, 5 figures","Journal of Optical Society of America A 21, 081407 (2004)","10.1364/JOSAA.21.001407",,"physics.optics physics.gen-ph quant-ph",,"  The image reconstruction of partially coherent light is interpreted as the
quantum state reconstruction. The efficient method based on maximum-likelihood
estimation is proposed to acquire information from registered intensity
measurements affected by noise. The connection with totally incoherent image
restoration is pointed out. The feasibility of the method is demonstrated
numerically. Spatial and correlation details significantly smaller than the
diffraction limit are revealed in the reconstructed pattern.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 17:52:54 GMT""}]","2011-07-22"
"physics/0310001","Subhash Kak","Subhash Kak","Indian Physics: Outline of Early History","36 pages",,,"Chapter in Life, Thought and Culture in India, G.C. Pande (ed).
  Centre for Studies in Civilizations, pp. 413-437 (2001)","physics.hist-ph physics.ed-ph",,"  Historians of science are generally unaware of the contributions of India to
physics. The main reason for this is that very little research has been done on
the subject in the recent past, a consequence of the fact that there are few
history of science departments in Indian universities. The objective of this
paper is to present a preliminary outline of early history of physics in India.
The schools of Vaisheshika and Samkhya, that were interested in general
principles of atomic theory and cosmology, are discussed. In particular, ideas
on atoms and molecules, the nature of sound, causality, universals, cosmology,
uniform and non-uniform motions are described.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 22:02:56 GMT""}]","2016-01-28"
"physics/0310002","Ilya Shadrivov","Ilya V. Shadrivov","Nonlinear guided waves and symmetry breaking in left-handed waveguides","4 pages, 3 figures","Photonics and Nanostructures - Fundamentals and Applications 2,
  175-180 (2004).","10.1016/j.photonics.2004.08.003",,"physics.optics physics.gen-ph",,"  We analyze nonlinear guided waves in a planar waveguide made of a left-handed
material surrounded by a Kerr-like nonlinear dielectric. We predict that such a
waveguide can support fast and slow symmetric and antisymmetric nonlinear
modes. We study the symmetry breaking bifurcation and asymmetric modes in such
a symmetric structure. We analyze nonlinear dispersion properties of the guided
waves, and show that the modes can be both forward and backward.
","[{""version"":""v1"",""created"":""Wed, 1 Oct 2003 00:34:51 GMT""}]","2007-05-23"
