"astro-ph/0306364","Robert J. Scherrer","Casey R. Watson and Robert J. Scherrer","The Evolution of Inverse Power Law Quintessence at Low Redshift","6 pages, 6 figures, new figure added, numerous clarifications","Phys.Rev.D68:123524,2003","10.1103/PhysRevD.68.123524",,"astro-ph gr-qc hep-ph",,"  Quintessence models based on a scalar field, phi, with an inverse power law
potential display simple tracking behavior at early times, when the
quintessence energy density, rho_phi, is sub-dominant. At late times, when
rho_phi becomes comparable to the matter density, the evolution of phi diverges
from its scaling behavior. We calculate the first order departure of phi from
its tracker solution at low redshift. Our results for the evolution of phi,
rho_phi, Omega_phi, and w are suprisingly accurate even down to z=0. We find
that w and Omega_phi are related linearly to first order. We also derive a
semi-analytic expression for w(z) which is accurate to within a few percent.
Our analytic techniques are potentially applicable to any quintessence model in
which the quintessence component comes to dominate at late times.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 16:12:18 GMT""},{""version"":""v2"",""created"":""Mon, 23 Jun 2003 15:45:22 GMT""},{""version"":""v3"",""created"":""Fri, 19 Sep 2003 20:25:40 GMT""}]","2009-11-10"
"hep-lat/0306023","Tilo Wettig","P.A. Boyle, C. Jung, T. Wettig (for the QCDOC collaboration)","The QCDOC supercomputer: hardware, software, and performance","11 pages, 10 figures, based on talks given by the authors at CHEP03
  (PSN THIT001, THIT002, THIT003)",,,,"hep-lat",,"  An overview is given of the QCDOC architecture, a massively parallel and
highly scalable computer optimized for lattice QCD using system-on-a-chip
technology. The heart of a single node is the PowerPC-based QCDOC ASIC,
developed in collaboration with IBM Research, with a peak speed of 1 GFlop/s.
The nodes communicate via high-speed serial links in a 6-dimensional mesh with
nearest-neighbor connections. We find that highly optimized four-dimensional
QCD code obtains over 50% efficiency in cycle accurate simulations of QCDOC,
even for problems of fixed computational difficulty run on tens of thousands of
nodes. We also provide an overview of the QCDOC operating system, which manages
and runs QCDOC applications on partitions of variable dimensionality. Finally,
the SciDAC activity for QCDOC and the message-passing interface QMP specified
as a part of the SciDAC effort are discussed for QCDOC. We explain how to make
optimal use of QMP routines on QCDOC in conjunction with existing C and C++
lattice QCD codes, including the publicly available MILC codes.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 17:45:20 GMT""}]","2007-05-23"
"hep-lat/0306024","Michael Creutz","Michael Creutz","The Early Days of Lattice Gauge Theory","9 pages, 3 figures, contribution to conference ""The Monte Carlo
  method in the physical sciences: Celebrating the 50th anniversary of the
  Metropolis algorithm,"" Los Alamos, June 9-11, 2003",,"10.1063/1.1632117",,"hep-lat",,"  I discuss some of the historical circumstances that drove us to use the
lattice as a non-perturbative regulator. This approach has had immense success,
convincingly demonstrating quark confinement and obtaining crucial properties
of the strong interactions from first principles. I wrap up with some
challenges for the future.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 21:35:46 GMT""}]","2009-11-10"
"hep-ph/0306168","Andrew A. Geraci","Savas Dimopoulos and Andrew A. Geraci","Probing Sub-Micron Forces by Interferometry of Bose-Einstein Condensed
  Atoms","32 pages, 5 figures, RevTeX4, expanded discussion of interactions,
  references added, to appear in PRD","Phys.Rev. D68 (2003) 124021","10.1103/PhysRevD.68.124021","Stanford-ITP-03-17","hep-ph cond-mat hep-th physics.atom-ph",,"  We propose a technique, using interferometry of Bose-Einstein condensed
alkali atoms, for the detection of sub-micron-range forces. It may extend
present searches at 1 micron by 6 to 9 orders of magnitude, deep into the
theoretically interesting regime of 1000 times gravity. We give several
examples of both four-dimensional particles (moduli), as well as
higher-dimensional particles -- vectors and scalars in a large bulk-- that
could mediate forces accessible by this technique.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 16:51:22 GMT""},{""version"":""v2"",""created"":""Thu, 16 Oct 2003 20:22:45 GMT""}]","2009-11-10"
"hep-ph/0306169","Graeme Watt","G. Watt, A.D. Martin, M.G. Ryskin","Unintegrated parton distributions and inclusive jet production at HERA","32 pages, 11 figures. Version to appear in Eur. Phys. J. C","Eur.Phys.J.C31:73-89,2003","10.1140/epjc/s2003-01320-4","IPPP-03-29, DCPT-03-58","hep-ph",,"  We describe how unintegrated parton distributions can be calculated from
conventional integrated distributions. We extend and improve the 'last-step'
evolution approach, and explain why doubly-unintegrated parton distributions
are necessary. We generalise k_t-factorisation to (z,k_t)-factorisation. We
apply the formalism to inclusive jet production in deep-inelastic scattering,
mainly at leading-order, but we also study the extension to next-to-leading
order. We compare the predictions with recent HERA data.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 19:55:57 GMT""},{""version"":""v2"",""created"":""Tue, 9 Sep 2003 15:59:06 GMT""}]","2014-11-17"
"hep-ph/0306170","Mirco Cannoni","M. Cannoni, St. Kolb, O. Panella","Lepton flavour violation in e^{\pm}e^{-}\to \ell^{\pm}e^{-} (\ell =
  \mu,\tau) induced by R-conserving supersymmetry","14 pages, 12 figures, Revtex4","Phys.Rev. D68 (2003) 096002","10.1103/PhysRevD.68.096002",,"hep-ph",,"  The lepton flavour violating signals $e^{+}e^{-}\to \ell^{+}e^{-}$ and
$e^{-}e^{-}\to \ell^{-}e^- (\ell=\mu,\tau)$ are studied in the context of low
energy R-parity conserving supersymmetry at center of mass energies of interest
for the next generation of linear colliders. Loop level amplitudes receive
contributions from electroweak penguin and box diagrams involving sleptons and
gauginos. Lepton flavour violation is due to off diagonal elements in $SU(2)_L$
doublet slepton mass matrix. These masses are treated as model independent free
phenomenological parameters in order to discover regions in parameter space
where the signal cross section may be observable. The results are compared with
(a) the experimental bounds from the non-observation of rare radiative lepton
decays $\mu, \tau \to e\gamma$ and (b) the general mSUGRA theoretical scenario
with seesaw mechanism where off diagonal slepton matrix entries are generated
by renormalization group evolution of neutrino Yukawa couplings induced by the
presence of new energy scales set by the heavy $SU(2)_L$ singlet neutrino
masses. It is found that in $e^- e^-$ collisions the ($e\tau$) signal can be
observable with a total integrated luminosity of 100 fb$^{-1}$ and the that the
background can be easily suppressed. In $e^+ e^-$ collisions the cross section
is smaller and higher luminosities are needed. The experimental bound on the
decay $\mu \to e \gamma$ prevents the ($e\mu$) signal from being observable.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 18:20:00 GMT""}]","2009-11-10"
"hep-ph/0306171","Veronica Sanz","Shaaban Khalil and Veronica Sanz","Can the CKM phase be the only source of CP violation?","10 pages, 4 figures. Replaced by the published version. Minor
  changes, references added","Phys.Lett. B576 (2003) 107-114","10.1016/j.physletb.2003.09.088","IPPP/03/36;DCPT/03/72","hep-ph",,"  We address the question of whether the CP violating phase in the CKM mixing
matrix can be the only source of all CP violation. We show that in
supersymmetric models with new flavour structure beyond the Yukawa matrices,
the CKM phase can generate the required baryon asymmetry and also accounts for
all observed results in K and B systems, in particular $\epsilon'/\epsilon$ and
the CP asymmetry of $B \to \phi K_S$.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 18:45:39 GMT""},{""version"":""v2"",""created"":""Fri, 14 Nov 2003 12:19:00 GMT""}]","2015-06-25"
"hep-ph/0306172","Makoto Oka","Makoto Oka","Summary of the YITP-RCNP Workshop on Chiral Restoration in Nuclear
  Medium","Summary talk of the YITP-RCNP Workshop on Chiral Restoration in
  Nuclear Medium (October 7-9, 2002)","Prog.Theor.Phys.Suppl. 149 (2003) 286-292","10.1143/PTPS.149.286","TIT/HEP/NP-101","hep-ph",,"  This is a personal summary of the workshop. I overview the topics of the
workshop and itemize what we learned at the workshop.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 07:29:46 GMT""}]","2009-11-10"
"hep-ph/0306173","Makoto Oka","Makoto Oka","Baryon-Baryon Interaction in the Quark Cluster Model","Talk presented at KEK Workshop on Few Body Physics, May 24-26, 2002","KEK Proceedings 2002-20, pp. 18-24",,"TIT/HEP/NP-102","hep-ph",,"  The quark cluster model approach to the baryon-baryon interaction is reviewed
and recent application to the charge symmetry breaking in nuclear force is
discussed.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 07:39:32 GMT""}]","2007-05-23"
"hep-ph/0306174","Peschanski","Romuald A. Janik and Robi Peschanski","The Lund Model at Nonzero Impact Parameter","12 pages, 2 .eps figures, footnotes added, results unchanged, version
  to be published in Phys.Lett.B","Phys.Lett.B576:90-96,2003","10.1016/j.physletb.2003.09.072",,"hep-ph",,"  We extend the formulation of the longitudinal 1+1 dimensional Lund model to
nonzero impact parameter using the minimal area assumption. Complete formulae
for the string breaking probability and the momenta of the produced mesons are
derived using the string worldsheet Minkowskian helicoid geometry. For strings
stretched into the transverse dimension, we find probability distribution with
slope linear in m_T similar to the statistical models but without any
thermalization assumptions.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 09:21:34 GMT""},{""version"":""v2"",""created"":""Fri, 20 Jun 2003 10:21:16 GMT""},{""version"":""v3"",""created"":""Tue, 28 Oct 2003 09:37:40 GMT""}]","2008-11-26"
"hep-ph/0306175","Bugra Borasoy","B. Borasoy, E. Marco","Final state interactions in nonleptonic hyperon decays","14 pages, 4 figures","Phys.Rev. D67 (2003) 114016","10.1103/PhysRevD.67.114016",,"hep-ph nucl-th",,"  We investigate the importance of final state interactions in weak nonleptonic
hyperon decays within a relativistic chiral unitary approach based on coupled
channels. The effective potentials for meson-baryon scattering are derived from
a chiral effective Lagrangian and iterated in a Bethe-Salpeter equation, which
generates the low lying baryon resonances dynamically. The inclusion of final
state interactions decreases the discrepancy between theory and experiment for
both s and p waves. Our study indicates that contributions from higher order
terms of the weak effective Lagrangian may play an important role in these
decays.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 09:45:58 GMT""}]","2009-11-10"
"hep-ph/0306176","Dmitri Kharzeev","B.L. Ioffe and D.E. Kharzeev","Quarkonium polarization in heavy ion collisions as a possible signature
  of the quark--gluon plasma","4 pages, no figures","Phys.Rev. C68 (2003) 061902","10.1103/PhysRevC.68.061902",,"hep-ph",,"  The polarization of quarkonium states produced in hadron collisions exhibits
strong non-perturbative effects - for example, at small transverse momentum
$p_t$ charmonia appear unpolarized, in sharp contradiction to the predictions
of perturbation theory. The quark--gluon plasma is expected to screen away the
non-perturbative physics; therefore those quarkonia which escape from the
plasma should possess polarization as predicted by perturbative QCD. We
estimate the expected $J/\psi$ polarization at small $p_t$, and find that it
translates into the asymmetry of the $e^+e^- (\mu^+\mu^-)$ angular distribution
$W(\theta) \sim 1 + \alpha cos^2\theta$, with $\alpha \simeq 0.35 \div 0.4$.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 09:50:12 GMT""},{""version"":""v2"",""created"":""Wed, 2 Jul 2003 21:25:15 GMT""}]","2009-11-10"
"hep-ph/0306177","Kozhevnikov Arkadii","N.N. Achasov, A.A. Kozhevnikov","The decays omega(782), phi(1020) to 5 pi in the hidden local symmetry
  approach","15 pages text, 12 pages of figures. Typos corrected, clarifying
  remarks added. Accepted for publication in Phys.Rev.D","Phys.Rev. D68 (2003) 074009","10.1103/PhysRevD.68.074009",,"hep-ph hep-ex nucl-th",,"  The decays omega -> 2pi^+ 2pi^- pi^0 and omega -> pi^+ pi^- 3pi^0 are
reconsidered in the hidden local symmetry approach (HLS) added with the
anomalous terms. The decay amplitudes are analyzed in detail, paying the
special attention to the Adler condition of vanishing the whole amplitude at
vanishing momentum of any final pion. Combining the Okubo-Zweig-Iizuka (OZI)
rule applied to the five pion final state, with the Adler condition, we
calculate also the phi -> 2pi^+ 2pi^-pi^0 and phi -> pi^+ pi^- 3pi^0 decay
amplitudes. The partial widths of the above decays are evaluated, and the
excitation curves in e^+e^- annihilation are obtained, assuming reasonable
particular relations among the parameters characterizing the anomalous terms of
the HLS Lagrangian. The evaluated branching ratios B(phi -> pi^+ pi^-
3pi^0)~2x10^{-7} and B(phi -> 2pi^+ 2pi^- pi^0)~7x10^{-7} are such that with
the luminosity L=500 pb^{-1} attained at DAFNE phi factory, one may already
possess about 1685 events of the decays phi -> 5pi.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 12:26:24 GMT""},{""version"":""v2"",""created"":""Tue, 26 Aug 2003 07:47:25 GMT""}]","2009-11-10"
"hep-ph/0306178","Thomas Mehen","Thomas Mehen (Duke U.)","Charm production asymmetries from heavy-quark recombination","10 pages, LaTeX, 8 figures, talk given at Strange Quark Matter 2003
  Conference, Atlantic Beach, North Carolina, Mar 12-17, to be published in J.
  Phys. G","AIP Conf.Proc. 698 (2004) 508-512","10.1063/1.1664288",,"hep-ph hep-ex",,"  Charm asymmetries in fixed-target hadroproduction experiments are sensitive
to power corrections to the QCD factorization theorem for heavy quark
production. A power correction called heavy-quark recombination has recently
been proposed to explain these asymmetries. In heavy-quark recombination, a
light quark or antiquark participates in a hard scattering which produces a
charm-anticharm quark pair. The light quark or antiquark emerges from the
scattering with small momentum in the rest frame of the charm quark, and
together they hadronize into a charm particle. The cross section for this
process can be calculated within perturbative QCD up to an overall
normalization. Heavy-quark recombination explains the observed D meson and
\Lambda_c asymmetries with a minimal set of universal nonperturbative
parameters.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 14:58:45 GMT""}]","2009-11-10"
"hep-th/0306168","Clifford V. Johnson","James E. Carlisle, Clifford V. Johnson","Holographic RG Flows and Universal Structures on the Coulomb Branch of
  N=2 Supersymmetric Large n Gauge Theory","14 pages, LaTeX, 1 figure","JHEP 0307 (2003) 039","10.1088/1126-6708/2003/07/039","DCPT-03/25","hep-th",,"  We report on our results of D3-brane probing a large class of generalised
type IIB supergravity solutions presented very recently in the literature. The
structure of the solutions is controlled by a single non-linear differential
equation. These solutions correspond to renormalisation group flows from pure
N=4 supersymmetric gauge theory to an N=2 gauge theory with a massive adjoint
scalar. The gauge group is SU(n) with n large. After presenting the general
result, we focus on one of the new solutions, solving for the specific
coordinates needed to display the explicit metric on the moduli space. We
obtain an appropriately holomorphic result for the coupling. We look for the
singular locus, and interestingly, the final result again manifests itself in
terms of a square root branch cut on the complex plane, as previously found for
a set of solutions for which the details are very different. This, together
with the existence of the single simple non-linear differential equation, is
further evidence in support of an earlier suggestion that there is a very
simple model --perhaps a matrix model with relation to the Calogero-Moser
integrable system-- underlying this gauge theory physics.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 18:06:55 GMT""},{""version"":""v2"",""created"":""Tue, 1 Jul 2003 16:54:27 GMT""}]","2009-11-10"
"hep-th/0306172","Aleksandr Zheltukhin","I. Bengtsson and A.A. Zheltukhin","Wess-Zumino actions and Dirichlet Boundary Conditions for Super p-branes
  with Exotic Fractions of Supersymmetry","Latex, 13 pages","Phys.Lett. B570 (2003) 222-230","10.1016/j.physletb.2003.07.056",,"hep-th",,"  The general solutions in the models of closed and open superstring and super
p-branes with exotic fractions of the N=1 supersymmetry are considered and the
spontaneously broken character of the $OSp(1,2M)$ symmetry of the models is
established. It is shown that extending these models by Wess-Zumino terms
generates the Dirichlet boundary conditions for superstring and super p-branes.
Using the generalized Wess-Zumino terms new $OSp(1,2M)$ invariant super p-brane
and Dp-brane-like actions preserving $\frac{M-1}{M}$ fraction of supersymmetry
are proposed. For M=32 these models suggest new superbrane vacua of M-theory
preserving 31 from 32 global supersymmetries.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 16:43:39 GMT""}]","2009-11-10"
"hep-th/0306177","Sergey Alexandrov","Sergei Yu. Alexandrov, Vladimir A. Kazakov and David Kutasov","Non-Perturbative Effects in Matrix Models and D-branes","27 pages, lanlmac; minor changes","JHEP 0309 (2003) 057","10.1088/1126-6708/2003/09/057","SPHT-t03/079, LPTENS-03/21, EFI-03-29","hep-th",,"  The large order growth of string perturbation theory in $c\le 1$ conformal
field theory coupled to world sheet gravity implies the presence of
$O(e^{-{1\over g_s}})$ non-perturbative effects, whose leading behavior can be
calculated in the matrix model approach. Recently it was proposed that the same
effects should be reproduced by studying certain localized D-branes in
Liouville Field Theory, which were constructed by A. and Al. Zamolodchikov. We
discuss this correspondence in a number of different cases: unitary minimal
models coupled to Liouville, where we compare the continuum analysis to the
matrix model results of Eynard and Zinn-Justin, and compact c=1 CFT coupled to
Liouville in the presence of a condensate of winding modes, where we derive the
matrix model prediction and compare it to Liouville theory. In both cases we
find agreement between the two approaches. The c=1 analysis also leads to
predictions about properties of D-branes localized in the vicinity of the tip
of the cigar in SL(2)/U(1) CFT with c=26.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 18:14:09 GMT""},{""version"":""v2"",""created"":""Mon, 18 Aug 2003 12:25:23 GMT""}]","2009-11-10"
"hep-th/0306178","Bayram Tekin","Bayram Tekin","Partially Massless Spin-2 Fields in String Generated Models","10 pages, Dedicated to the memory of Ian Kogan (1958-2003). v2:
  references added",,,"BRX-TH-508","hep-th gr-qc",,"  In cosmological backgrounds, there can be 'partially massless' higher spin
fields which have fewer degrees of freedom than their massive partners. The
equations for the partially massless spin-2 fields are usually taken to be the
linearized Einstein equations augmented with a 'tuned' Pauli-Fierz mass. Here,
we add more powers of curvatures and show that for the string-generated
Einstein-Gauss-Bonnet model, partially massless spin-2 fields have real mass in
AdS, in contrast to the Einstein level result. We discuss the implication of
this for the AdS/CFT applications and briefly study the C^4-corrected AdS_5 x
S^5$ solution in type IIB SUGRA.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 19:31:47 GMT""},{""version"":""v2"",""created"":""Sat, 21 Jun 2003 22:10:55 GMT""}]","2007-05-23"
"hep-th/0306179","Ulf Gran","Eric Bergshoeff, Ulf Gran, Roman Linares, Mikkel Nielsen, Tomas Ortin
  and Diederik Roest","The Bianchi Classification of Maximal D=8 Gauged Supergravities","24 pages, 1 figure. v2: discussion concerning the isometries
  clarified, minor changes, references added. v3: references added, published
  version","Class.Quant.Grav. 20 (2003) 3997-4014","10.1088/0264-9381/20/18/310",,"hep-th astro-ph gr-qc",,"  We perform the generalised dimensional reduction of D=11 supergravity over
three-dimensional group manifolds as classified by Bianchi. Thus, we construct
eleven different maximal D=8 gauged supergravities, two of which have an
additional parameter. One class of group manifolds (class B) leads to
supergravities that are defined by a set of equations of motion that cannot be
integrated to an action.
  All 1/2 BPS domain wall solutions are given. We also find a
non-supersymmetric domain wall solution where the single transverse direction
is time. This solution describes an expanding universe and upon reduction gives
the Einstein-de Sitter universe in D=4. The uplifting of the different
solutions to M-theory and the isometries of the corresponding group manifold
are discussed.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 10:27:48 GMT""},{""version"":""v2"",""created"":""Fri, 4 Jul 2003 10:45:12 GMT""},{""version"":""v3"",""created"":""Tue, 26 Aug 2003 15:05:20 GMT""}]","2009-11-10"
"hep-th/0306180","Ysmyung","Y. S. Myung (Inje Univ)","Role of the cosmological constant in the holographic description of the
  early universe","15 pages","Phys.Lett. B578 (2004) 7-15","10.1016/j.physletb.2003.10.051","INJE-TP-03-06","hep-th",,"  We investigate the role of the cosmological constant in the holographic
description of a radiation-dominated universe $C_2/R^4$ with a positive
cosmological constant $\Lambda$. In order to understand the nature of
cosmological term, we first study the newtonian cosmology. Here we find two
aspects of the cosmological term: entropy ($\Lambda \to S_{\rm \Lambda}$) and
energy ($\Lambda \to E_{\rm \Lambda}$). Also we solve the Friedmann equation
parametrically to obtain another role. In the presence of the cosmological
constant, the solutions are described by the Weierstrass elliptic functions on
torus and have modular properties. In this case one may expect to have a
two-dimensional Cardy entropy formula but the cosmological constant plays a
role of the modular parameter $\tau(C_2,\Lambda)$ of torus. Consequently the
entropy concept of the cosmological constant is very suitable for establishing
the holographic entropy bounds in the early universe. This contrasts to the
role of the cosmological constant as a dark energy in the present universe.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 01:11:50 GMT""}]","2010-04-05"
"hep-th/0306181","Subir Ghosh","Subir Ghosh (Indian Statistical Institute)","The Seiberg-Witten Map in Noncommutative Field Theory: An Alternative
  Interpretation","To appear in the special issue of the journal ""Relativity,
  Gravitation, Cosmology""","Rel.Grav.Cosmol. 1 (2004) 97-108",,,"hep-th",,"  In this article, an alternative interpretation of the Seiberg-Witten map in
non-commutative field theory is provided. We show that the Seiberg-Witten map
can be induced in a geometric way, by a field dependent co-ordinate
transformation that connects noncommutative and ordinary space-times.
Furthermore, in continuation of our earlier works, it has been demonstrated
here that the above (field dependent co-ordinate) transformations are present
in a gauge fixed version of the relativistic spinning particle model, embedded
in the Batalin-Tyutin extended space. We emphasize that the space-time
non-commutativity emerges naturally from the particle {\it {spin}} degrees of
freedom. Contrary to similarly motivated works, the non-commutativity is not
imposed here in an {\it{ad-hoc}} manner.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 07:21:10 GMT""}]","2007-05-23"
"hep-th/0306183","Renate Loll","R. Loll (Spinoza Inst. and U. Utrecht), W. Westra (U. Utrecht)","Sum over topologies and double-scaling limit in 2D Lorentzian quantum
  gravity","9 pages, 3 Postscript figures; added comments on strip versus bulk
  partition function","Class.Quant.Grav. 23 (2006) 465-472","10.1088/0264-9381/23/2/011","ITP-UU-03/24, SPIN-2003/14","hep-th",,"  We construct a combined non-perturbative path integral over geometries and
topologies for two-dimensional Lorentzian quantum gravity. The Lorentzian
structure is used in an essential way to exclude geometries with unacceptably
large causality violations. The remaining sum can be performed analytically and
possesses a unique and well-defined double-scaling limit, a property which has
eluded similar models of Euclidean quantum gravity in the past.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 12:00:46 GMT""},{""version"":""v2"",""created"":""Fri, 1 Jul 2005 09:56:59 GMT""}]","2009-11-10"
"hep-th/0306185","Carlo Angelantonj","C. Angelantonj, S. Ferrara, and M. Trigiante","New D=4 gauged supergravities from N=4 orientifolds with fluxes","51 pages, 1 figure. Latex. Reference added. Typos corrected.
  Discussion on gaugings expanded","JHEP 0310 (2003) 015","10.1088/1126-6708/2003/10/015","CERN-TH/2003-136, SPIN-03/19, ITP-03/31","hep-th",,"  We consider classes of T_6 orientifolds, where the orientifold projection
contains an inversion I_{9-p} on 9-p coordinates, transverse to a Dp-brane. In
absence of fluxes, the massless sector of these models corresponds to diverse
forms of N=4 supergravity, with six bulk vector multiplets coupled to N=4
Yang--Mills theory on the branes. They all differ in the choice of the duality
symmetry corresponding to different embeddings of SU(1,1)\times SO(6,6+n) in
Sp(24+2n,R), the latter being the full group of duality rotations. Hence, these
Lagrangians are not related by local field redefinitions. When fluxes are
turned on one can construct new gaugings of N=4 supergravity, where the twelve
bulk vectors gauge some nilpotent algebra which, in turn, depends on the choice
of fluxes.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 14:22:57 GMT""},{""version"":""v2"",""created"":""Wed, 16 Jul 2003 12:15:10 GMT""}]","2009-11-10"
"hep-th/0306186","Kamal Lochan Panigrahi","Nobuyoshi Ohta, Kamal L. Panigrahi, Sanjay","Intersecting branes in pp-wave spacetime","28 pages, Discussions on singularities are added, references added,
  published in Nucl. Phys. B; typos fixed, minor corrections","Nucl.Phys.B674:306-328,2003; Erratum-ibid.B748:333,2006","10.1016/j.nuclphysb.2003.09.036 10.1016/j.nuclphysb.2006.05.013","OU-HET 448, IP/BBSR/2003-14","hep-th",,"  We derive intersecting brane solutions in pp-wave spacetime by solving the
supergravity field equations explicitly. The general intersection rules are
presented. We also generalize the construction to the non-extremal solutions.
Both the extremal and non-extremal solutions presented here are asymptotic to
BFHP plane waves. We find that these solutions do not have regular horizons.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 15:28:17 GMT""},{""version"":""v2"",""created"":""Thu, 26 Jun 2003 04:59:35 GMT""},{""version"":""v3"",""created"":""Wed, 17 Sep 2003 11:19:00 GMT""},{""version"":""v4"",""created"":""Thu, 11 May 2006 02:18:21 GMT""}]","2014-11-18"
"math/0306271","Gerald Gaudens","Francois-Xavier Dehon and Gerald Gaudens","Espaces profinis et problemes de realisabilite","Published by Algebraic and Geometric Topology at
  http://www.maths.warwick.ac.uk/agt/AGTVol3/agt-3-13.abs.html","Algebr. Geom. Topol. 3 (2003) 399-433","10.2140/agt.2003.3.399",,"math.AT",,"  The mod p cohomology of a space comes with an action of the Steenrod Algebra.
L. Schwartz [A propos de la conjecture de non realisation due a N. Kuhn,
Invent. Math. 134, No 1, (1998) 211--227] proved a conjecture due to N. Kuhn
[On topologicaly realizing modules over the Steenrod algebra, Annals of
Mathematics, 141 (1995) 321--347] stating that if the mod $p$ cohomology of a
space is in a finite stage of the Krull filtration of the category of unstable
modules over the Steenrod algebra then it is locally finite. Nevertheless his
proof involves some finiteness hypotheses. We show how one can remove those
finiteness hypotheses by using the homotopy theory of profinite spaces
introduced by F. Morel [Ensembles profinis simpliciaux et interpretation
geometrique du foncteur T, Bull. Soc. Math. France, 124 (1996) 347--373], thus
obtaining a complete proof of the conjecture. For that purpose we build the
Eilenberg-Moore spectral sequence and show its convergence in the profinite
setting.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 16:30:36 GMT""}]","2014-10-01"
"math/0306272","Wolfgang Bertram","Wolfgang Bertram, Karl-Hermann Neeb","Projective completions of Jordan pairs. Part I: The generalized
  projective geometry of a Lie algebra","33 pages, plain tex",,,"IECN 2003/21","math.RA",,"  A geometric realization of the projective completion of the Jordan pair
corresponding to a three-graded Lie algebra is given which permits to develop a
geometric structure theory of the projective completion. This will be used in
Part II of this work to define a manifold structure on the projective
completion (in arbitrary dimension and over quite general base fields and
-rings).
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 16:54:52 GMT""}]","2007-05-23"
"math/0306273","Shahn Majid","E.J. Beggs and S. Majid","Semi-classical differential structures","34 pages AMS-LATEX, no figures. Final version, as to be published.
  Note added with prior reference and notational changes `partial' -->`pre'
  only",,,,"math.QA hep-th math.SG",,"  We semiclassicalise the standard notion of differential calculus in
noncommutative geometry on algebras and quantum groups. We show in the
symplectic case that the infinitesimal data for a differential calculus is a
symplectic connection, and interpret its curvature as lowest order
nonassociativity of the exterior algebra. Semiclassicalisation of the
noncommutative torus provides an example with zero curvature. In the
Poisson-Lie group case we study left-covariant infinitesimal data in terms of
partially defined preconnections. We show that the moduli space of bicovariant
infinitesimal data for quasitriangular Poisson-Lie groups has a canonical
reference point which is flat in the triangular case. Using a theorem of
Kostant, we completely determine the moduli space when the Lie algebra is
simple: the canonical preconnection is the unique point for other than sl_n,
n>2, when the moduli space is 1-dimensional. We relate the canonical
preconnection to Drinfeld twists and thereby quantise it to a super
coquasi-Hopf exterior algebra. We also discuss links with Fedosov quantisation.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 17:30:16 GMT""},{""version"":""v2"",""created"":""Tue, 15 Nov 2005 20:18:53 GMT""}]","2007-05-23"
"math/0306274","Allen Knutson","Allen Knutson, Terence Tao, Christopher T. Woodward","A positive proof of the Littlewood-Richardson rule using the octahedron
  recurrence","15 pages, 12 figures","Electron. J. Combin. 11 (2004), Research Paper 61",,,"math.CO math.RT",,"  We define the_hive ring_, which has a basis indexed by dominant weights for
GL(n), and structure constants given by counting hives [KT1] (or equivalently
honeycombs, or Berenstein-Zelevinsky patterns [BZ1]). We use the octahedron
rule from [Robbins-Rumsey,Fomin-Zelevinsky,Propp,Speyer] to prove bijectively
that this ""ring"" is indeed associative.
  This, and the Pieri rule, give a self-contained proof that the hive ring is
isomorphic as a ring-with-basis to the representation ring of GL(n).
  In the honeycomb interpretation, the octahedron rule becomes ""scattering"" of
the honeycombs. This recovers some of the ""crosses and wrenches"" diagrams from
the very recent preprint [S], whose results we use to give a closed form for
the associativity bijection.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 17:32:13 GMT""}]","2010-04-26"
